length,reward,score
56,16,16
34,9,9
67,19,19
67,21,21
66,20,20
68,20,20
41,11,11
66,17,17
43,8,8
66,19,19
48,12,12
69,17,17
57,14,14
64,21,21
27,6,6
70,17,17
44,10,10
67,17,17
68,16,16
38,10,10
71,14,14
69,16,16
57,13,13
54,14,14
34,10,10
71,19,19
48,12,12
68,13,13
65,19,19
51,15,15
45,12,12
61,17,17
56,17,17
44,10,10
69,20,20
66,20,20
67,21,21
66,17,17
56,16,16
49,15,15
55,17,17
67,16,16
66,15,15
54,13,13
64,17,17
63,15,15
44,10,10
30,8,8
67,21,21
41,11,11
66,20,20
43,11,11
52,10,10
61,18,18
31,8,8
61,16,16
69,13,13
57,15,15
38,7,7
32,8,8
38,7,7
60,13,13
68,19,19
60,15,15
32,8,8
68,20,20
67,13,13
55,16,16
62,16,16
44,12,12
65,21,21
54,14,14
46,14,14
37,11,11
52,12,12
65,24,24
31,7,7
64,17,17
64,17,17
68,22,22
69,17,17
52,13,13
64,15,15
67,16,16
68,19,19
68,20,20
67,20,20
59,15,15
69,16,16
60,15,15
30,8,8
38,11,11
64,14,14
37,13,13
66,19,19
35,11,11
68,18,18
39,11,11
45,9,9
52,12,12
67,21,21
68,21,21
54,16,16
68,21,21
60,17,17
71,16,16
67,13,13
29,9,9
32,10,10
55,14,14
44,10,10
67,20,20
70,16,16
53,10,10
42,8,8
71,19,19
68,17,17
68,16,16
67,14,14
34,9,9
51,11,11
68,20,20
39,11,11
69,18,18
35,9,9
39,8,8
39,9,9
63,14,14
67,20,20
50,14,14
69,19,19
66,20,20
39,11,11
67,17,17
62,19,19
35,9,9
52,15,15
54,14,14
66,17,17
66,22,22
67,17,17
68,18,18
52,11,11
69,18,18
55,15,15
68,18,18
46,12,12
53,11,11
63,16,16
37,11,11
72,16,16
29,9,9
38,12,12
43,12,12
22,6,6
29,9,9
67,22,22
38,8,8
59,13,13
61,18,18
67,16,16
54,16,16
34,10,10
40,10,10
43,12,12
41,10,10
66,17,17
61,10,10
48,14,14
34,6,6
44,12,12
63,19,19
67,15,15
66,17,17
53,12,12
61,17,17
68,18,18
63,18,18
67,13,13
39,11,11
40,10,10
66,15,15
54,15,15
67,18,18
62,16,16
68,19,19
64,15,15
53,16,16
38,10,10
68,19,19
56,16,16
69,18,18
58,18,18
34,7,7
58,18,18
65,22,22
64,17,17
67,19,19
40,10,10
62,17,17
39,8,8
34,9,9
58,10,10
68,20,20
65,20,20
68,21,21
41,10,10
69,18,18
71,19,19
66,21,21
45,11,11
26,7,7
68,18,18
53,15,15
45,11,11
65,22,22
67,19,19
46,14,14
61,17,17
46,12,12
59,16,16
25,7,7
47,13,13
68,20,20
55,14,14
55,15,15
66,20,20
24,6,6
69,17,17
66,21,21
67,20,20
41,10,10
49,12,12
39,13,13
37,9,9
64,16,16
54,16,16
39,10,10
45,11,11
53,12,12
55,13,13
67,21,21
38,6,6
47,14,14
63,19,19
46,12,12
66,20,20
50,16,16
67,19,19
25,9,9
48,12,12
50,14,14
65,19,19
64,19,19
68,17,17
68,15,15
44,11,11
70,17,17
67,18,18
68,18,18
62,17,17
42,10,10
67,20,20
67,21,21
49,12,12
71,17,17
43,10,10
66,20,20
41,13,13
62,18,18
58,15,15
69,21,21
61,14,14
53,13,13
68,15,15
59,14,14
66,20,20
52,15,15
57,17,17
36,10,10
55,15,15
71,19,19
71,17,17
39,11,11
68,19,19
63,18,18
68,20,20
43,9,9
40,10,10
66,17,17
67,21,21
68,20,20
68,14,14
28,6,6
66,22,22
70,13,13
64,15,15
43,9,9
58,16,16
49,15,15
63,15,15
68,18,18
69,17,17
66,19,19
43,10,10
66,19,19
65,19,19
