length,reward,score
45,9,9
44,13,13
43,13,13
43,13,13
44,14,14
44,12,12
32,8,8
41,14,14
26,7,7
26,6,6
43,14,14
43,13,13
43,13,13
41,15,15
44,11,11
43,14,14
44,15,15
45,11,11
40,15,15
40,14,14
43,12,12
43,13,13
42,14,14
34,8,8
33,9,9
44,12,12
41,15,15
37,11,11
42,13,13
45,14,14
45,13,13
45,12,12
44,12,12
40,16,16
44,13,13
45,15,15
29,9,9
44,12,12
43,14,14
37,11,11
43,15,15
43,11,11
44,13,13
21,7,7
44,13,13
45,13,13
35,9,9
43,13,13
44,12,12
44,13,13
43,13,13
43,11,11
25,7,7
44,10,10
45,12,12
44,13,13
43,14,14
45,13,13
41,13,13
44,13,13
42,11,11
43,13,13
42,12,12
42,14,14
44,12,12
41,15,15
43,13,13
44,12,12
42,13,13
46,9,9
42,16,16
43,12,12
33,9,9
43,12,12
46,11,11
26,6,6
46,11,11
45,11,11
44,11,11
42,14,14
39,9,9
34,10,10
44,14,14
44,14,14
43,13,13
42,14,14
44,13,13
43,14,14
33,7,7
43,11,11
43,12,12
45,12,12
44,12,12
39,11,11
41,11,11
42,13,13
43,12,12
44,14,14
44,11,11
41,12,12
41,7,7
43,14,14
42,12,12
42,13,13
43,15,15
42,13,13
36,10,10
43,13,13
43,11,11
41,13,13
42,14,14
43,12,12
41,14,14
44,14,14
45,13,13
46,10,10
42,13,13
42,13,13
41,15,15
42,12,12
42,13,13
35,9,9
45,12,12
42,12,12
41,12,12
44,12,12
42,13,13
44,12,12
44,14,14
44,12,12
43,14,14
43,14,14
42,14,14
42,15,15
44,10,10
43,15,15
44,12,12
43,11,11
45,11,11
43,12,12
43,11,11
29,9,9
44,14,14
40,12,12
44,13,13
43,12,12
44,11,11
40,15,15
42,14,14
42,12,12
42,13,13
31,7,7
43,14,14
43,13,13
41,14,14
42,14,14
44,12,12
39,13,13
41,14,14
42,12,12
44,12,12
45,12,12
41,14,14
43,14,14
44,12,12
44,11,11
43,14,14
45,12,12
42,12,12
43,14,14
43,12,12
41,11,11
41,11,11
42,11,11
39,12,12
43,13,13
42,14,14
42,13,13
42,12,12
43,13,13
43,13,13
44,12,12
45,11,11
45,14,14
37,11,11
42,13,13
43,13,13
45,11,11
44,12,12
42,11,11
46,9,9
44,11,11
45,10,10
42,10,10
43,13,13
24,6,6
39,12,12
44,11,11
43,11,11
23,6,6
45,14,14
44,12,12
42,13,13
44,10,10
37,11,11
42,9,9
42,10,10
45,11,11
44,13,13
44,13,13
43,13,13
44,13,13
36,10,10
38,10,10
44,12,12
43,14,14
45,13,13
43,14,14
42,13,13
43,12,12
42,12,12
