length,reward,score
19,5,5
19,6,6
16,3,3
17,4,4
19,6,6
19,5,5
19,5,5
22,3,3
19,7,7
18,7,7
20,5,5
19,5,5
21,5,5
19,5,5
19,7,7
19,5,5
20,5,5
18,7,7
19,5,5
20,5,5
19,5,5
20,6,6
18,6,6
20,5,5
19,8,8
19,7,7
19,5,5
20,6,6
19,6,6
19,4,4
19,6,6
21,5,5
19,5,5
19,5,5
19,4,4
20,6,6
19,5,5
19,7,7
21,5,5
20,5,5
20,7,7
20,5,5
19,8,8
19,6,6
18,7,7
19,5,5
20,7,7
21,4,4
21,5,5
19,5,5
19,6,6
18,5,5
19,6,6
19,5,5
18,6,6
19,6,6
19,5,5
20,5,5
21,4,4
21,7,7
18,6,6
20,6,6
20,5,5
18,6,6
20,3,3
19,6,6
14,3,3
20,6,6
19,6,6
19,6,6
18,6,6
21,5,5
20,6,6
19,7,7
18,7,7
20,7,7
21,4,4
17,4,4
20,6,6
19,8,8
19,6,6
19,6,6
19,5,5
18,7,7
20,4,4
19,4,4
20,7,7
20,8,8
19,6,6
19,5,5
20,4,4
20,5,5
19,6,6
19,6,6
19,6,6
18,7,7
19,9,9
19,6,6
18,6,6
19,6,6
19,4,4
17,3,3
20,6,6
18,6,6
19,4,4
20,6,6
19,6,6
20,8,8
20,4,4
19,7,7
18,6,6
18,7,7
20,4,4
20,6,6
19,6,6
19,5,5
20,7,7
19,6,6
18,7,7
20,4,4
19,6,6
21,6,6
19,6,6
20,6,6
20,6,6
21,7,7
20,5,5
19,4,4
19,6,6
20,4,4
20,6,6
20,6,6
20,6,6
19,6,6
18,5,5
19,5,5
21,6,6
20,7,7
21,5,5
21,4,4
19,5,5
18,6,6
18,5,5
18,6,6
20,4,4
19,7,7
19,6,6
21,7,7
20,6,6
19,5,5
20,6,6
19,7,7
20,5,5
21,5,5
20,7,7
19,7,7
20,5,5
20,5,5
20,7,7
14,3,3
19,5,5
17,6,6
19,7,7
19,6,6
20,7,7
19,7,7
20,6,6
19,5,5
19,6,6
18,6,6
19,5,5
19,5,5
19,7,7
19,4,4
21,6,6
20,8,8
20,5,5
18,5,5
19,6,6
18,8,8
19,6,6
19,7,7
20,4,4
18,5,5
19,6,6
19,6,6
20,7,7
18,8,8
14,3,3
20,5,5
19,5,5
19,6,6
20,5,5
19,5,5
21,5,5
19,6,6
19,6,6
20,6,6
21,5,5
19,7,7
12,3,3
19,5,5
19,4,4
12,3,3
20,6,6
19,4,4
19,5,5
18,3,3
20,4,4
20,7,7
20,5,5
18,7,7
19,6,6
21,4,4
14,3,3
18,7,7
12,3,3
18,6,6
18,8,8
19,4,4
19,6,6
19,6,6
19,7,7
19,7,7
19,6,6
19,5,5
18,6,6
18,4,4
18,6,6
18,5,5
20,5,5
19,7,7
20,4,4
19,6,6
19,6,6
20,5,5
20,5,5
21,4,4
18,5,5
21,5,5
20,4,4
19,6,6
21,5,5
19,5,5
19,6,6
19,6,6
20,6,6
20,8,8
20,6,6
15,4,4
19,6,6
19,5,5
20,6,6
20,6,6
18,6,6
19,6,6
19,7,7
19,4,4
19,6,6
19,5,5
20,7,7
15,4,4
22,4,4
20,6,6
18,7,7
19,5,5
19,6,6
21,6,6
19,3,3
19,5,5
19,8,8
19,6,6
21,5,5
19,7,7
19,5,5
19,7,7
18,6,6
19,6,6
20,5,5
22,3,3
18,8,8
20,6,6
19,8,8
18,7,7
12,3,3
20,6,6
20,5,5
19,7,7
19,7,7
19,4,4
21,6,6
20,6,6
20,6,6
21,6,6
21,6,6
19,5,5
19,7,7
20,5,5
19,7,7
20,6,6
19,7,7
19,5,5
19,7,7
19,6,6
18,8,8
20,4,4
18,7,7
12,3,3
19,6,6
19,6,6
18,6,6
12,3,3
18,3,3
18,6,6
20,5,5
12,3,3
22,4,4
21,5,5
19,5,5
21,6,6
19,5,5
19,7,7
18,6,6
19,7,7
19,6,6
19,5,5
19,4,4
19,5,5
18,6,6
21,5,5
20,6,6
19,5,5
20,8,8
17,7,7
20,6,6
20,6,6
20,5,5
19,7,7
19,7,7
18,6,6
20,5,5
20,4,4
20,5,5
19,6,6
19,7,7
20,5,5
19,7,7
20,6,6
20,5,5
19,6,6
18,6,6
19,7,7
20,5,5
19,7,7
18,4,4
17,4,4
16,3,3
20,6,6
20,5,5
20,7,7
19,5,5
20,6,6
20,6,6
16,3,3
20,5,5
19,5,5
19,7,7
18,8,8
18,5,5
19,6,6
19,5,5
16,3,3
20,6,6
19,6,6
14,5,5
20,5,5
18,6,6
19,5,5
17,4,4
19,6,6
20,6,6
14,3,3
20,5,5
18,5,5
20,5,5
21,5,5
21,5,5
20,6,6
20,5,5
18,4,4
20,7,7
19,6,6
18,7,7
18,6,6
18,6,6
20,6,6
19,6,6
19,7,7
18,7,7
19,7,7
20,6,6
19,9,9
19,6,6
19,6,6
20,4,4
20,4,4
20,4,4
19,6,6
19,6,6
19,6,6
20,6,6
20,5,5
20,6,6
18,7,7
18,6,6
20,6,6
20,5,5
21,5,5
19,5,5
19,5,5
19,5,5
20,4,4
19,5,5
20,5,5
19,6,6
19,7,7
19,6,6
19,6,6
20,4,4
20,4,4
19,6,6
20,6,6
21,4,4
20,5,5
19,5,5
19,6,6
20,5,5
16,5,5
19,5,5
18,3,3
19,2,2
21,4,4
19,6,6
20,6,6
20,7,7
21,5,5
20,6,6
20,5,5
19,6,6
20,6,6
19,7,7
18,6,6
21,5,5
18,6,6
19,5,5
19,7,7
19,5,5
20,5,5
16,3,3
19,6,6
19,6,6
20,7,7
20,4,4
19,5,5
20,6,6
20,6,6
21,4,4
19,8,8
19,7,7
19,5,5
20,6,6
19,7,7
20,5,5
19,6,6
19,6,6
19,6,6
20,7,7
20,6,6
19,7,7
20,6,6
20,4,4
18,6,6
20,6,6
19,6,6
12,3,3
20,7,7
19,6,6
18,5,5
20,6,6
20,4,4
20,4,4
19,5,5
18,5,5
18,6,6
18,7,7
18,6,6
19,7,7
20,6,6
19,5,5
18,7,7
21,5,5
19,6,6
21,5,5
19,7,7
20,5,5
20,6,6
20,5,5
21,6,6
18,6,6
19,6,6
20,5,5
20,5,5
17,6,6
19,4,4
18,8,8
19,6,6
21,4,4
18,6,6
19,7,7
20,6,6
17,4,4
20,5,5
20,5,5
19,6,6
21,5,5
20,5,5
20,6,6
19,6,6
21,5,5
20,6,6
19,6,6
21,5,5
19,6,6
18,6,6
18,6,6
19,6,6
19,7,7
18,6,6
19,6,6
19,6,6
21,6,6
20,6,6
18,6,6
19,4,4
18,7,7
19,6,6
19,4,4
19,6,6
19,6,6
20,5,5
20,5,5
19,6,6
18,8,8
19,5,5
19,6,6
20,4,4
19,6,6
20,5,5
19,5,5
18,8,8
18,6,6
20,6,6
20,5,5
20,7,7
21,5,5
21,5,5
19,6,6
18,7,7
18,8,8
18,5,5
18,7,7
12,3,3
16,5,5
17,3,3
20,6,6
12,3,3
19,5,5
19,6,6
19,6,6
20,7,7
19,6,6
18,6,6
19,6,6
20,6,6
20,5,5
20,6,6
18,8,8
19,5,5
18,7,7
20,6,6
20,6,6
20,7,7
20,5,5
17,7,7
19,5,5
18,7,7
20,6,6
17,3,3
19,6,6
20,5,5
20,4,4
19,6,6
21,5,5
