Iteration,MeanKL,LossAfter,ExplainedVariance,MeanKLBefore,dLoss,MaxReturn,AverageReturn,Perplexity,AverageDiscountedReturn,StdReturn,LossBefore,NumTrajs,MinReturn,Entropy
0,0.00972528600536,-0.0462883644086,4.73473216189e-09,0.0,0.0462883644086,7,1.16387959866,10.9161325166,1.16387959866,1.42419360469,-4.36499837985e-16,1196,0,2.39024174244
1,0.00670369522181,-0.0427805581166,0.101543630932,-1.88138016298e-21,0.0427805581166,7,1.440267335,10.7039045226,1.440267335,1.59232156991,1.20534060256e-17,1197,0,2.37060858356
2,0.00650488197128,-0.0426313619826,0.128204106098,-1.82092197337e-20,0.0426313619826,7,1.70668953688,10.4805478426,1.70668953688,1.60501140076,5.4118239209e-17,1166,0,2.34952095259
3,0.00658191174901,-0.0415164729058,0.149586286135,0.0,0.0415164729058,7,2.01220575414,10.1208657249,2.01220575414,1.70128140829,5.76423531981e-17,1147,0,2.31459920614
4,0.00661754948051,-0.0411223030136,0.187213196555,-8.49100564532e-21,0.0411223030136,7,2.29029462738,9.71430411554,2.29029462738,1.70068578782,4.11132064591e-18,1154,0,2.27359945037
5,0.00996097872377,-0.0479462118434,0.233094012007,0.0,0.0479462118434,7,2.57463330457,9.24769306881,2.57463330457,1.669214273,6.05737682235e-17,1159,0,2.22437412245
6,0.00679096203669,-0.0378517600924,0.282362234391,0.0,0.0378517600924,8,2.91724738676,8.7326142967,2.91724738676,1.67663241525,2.9587404764e-17,1148,0,2.16706478627
7,0.00686063620627,-0.0376378553373,0.341421935069,0.0,0.0376378553373,8,3.15304347826,8.32917530913,3.15304347826,1.6636952971,1.54259296704e-17,1150,0,2.11976444877
8,0.0067021684908,-0.0348829383255,0.364681861429,0.0,0.0348829383255,7,3.39655172414,7.87533401219,3.39655172414,1.60752170761,8.02443914402e-17,1160,0,2.06373559806
9,0.00648302042201,-0.0344389338781,0.389224413326,0.0,0.0344389338781,8,3.47672413793,7.46256673156,3.47672413793,1.65710891567,-1.11205416016e-16,1160,0,2.00989942093
10,0.00661697257791,-0.0326166371676,0.408502324884,0.0,0.0326166371676,8,3.58828596038,7.15184285948,3.58828596038,1.63119901924,-6.2982952187e-17,1161,0,1.96737006608
11,0.00670155194966,-0.0322998737495,0.411509030121,3.49406822495e-21,0.0322998737495,8,3.80825451419,6.7016364204,3.80825451419,1.673792928,-9.81885724246e-17,1163,0,1.90235173843
12,0.00653252927354,-0.0309896559257,0.449916969194,0.0,0.0309896559257,8,3.83333333333,6.42079917761,3.83333333333,1.58607219256,-1.74270160834e-17,1152,0,1.85954259245
13,0.00985104963155,-0.0391102559775,0.480866592687,0.0,0.0391102559775,8,3.91043478261,6.12128237537,3.91043478261,1.57142272358,-2.97080061945e-17,1150,0,1.81177161303
14,0.00642391554119,-0.029659984902,0.481763746208,1.24467645921e-20,0.029659984902,8,4.17202432667,5.70218759955,4.17202432667,1.56246680127,-3.20758226649e-17,1151,0,1.74084989061
15,0.00657039171996,-0.0283988898826,0.500088214807,7.04458561178e-21,0.0283988898826,8,4.2864628821,5.41311157642,4.2864628821,1.5799066289,-3.31257424806e-17,1145,0,1.68882408028
16,0.00667229726202,-0.0308374865655,0.513315035295,-2.76286331666e-21,0.0308374865655,8,4.3321799308,5.14868071115,4.3321799308,1.58944477547,7.59164799404e-18,1156,0,1.63874050927
17,0.00652182367463,-0.0276101518123,0.5003141352,0.0,0.0276101518123,8,4.353041988,4.87195532558,4.353041988,1.61784889527,3.81764014865e-17,1167,0,1.58349536074
18,0.00646283999973,-0.0286535235284,0.534210097508,0.0,0.0286535235284,9,4.53373702422,4.58108534904,4.53373702422,1.55122572811,5.95507472025e-17,1156,0,1.52193594583
19,0.00645998122796,-0.0285481155525,0.566833302145,3.29699846184e-21,0.0285481155525,8,4.53431798436,4.37759031918,4.53431798436,1.51057507119,-2.94956761967e-17,1151,0,1.47649841756
20,0.00970629237849,-0.0331200400978,0.555253908549,0.0,0.0331200400978,8,4.69861830743,4.17107473565,4.69861830743,1.57643971243,1.34464905151e-17,1158,0,1.42817373298
21,0.00652139405445,-0.0275701212281,0.549577524003,0.0,0.0275701212281,8,4.69090909091,3.93221098523,4.69090909091,1.54433878745,1.51845527133e-17,1155,0,1.36920185935
22,0.00645975895245,-0.0270899327346,0.546683398999,1.78834158037e-20,0.0270899327346,8,4.73711340206,3.76960471496,4.73711340206,1.60099751471,-4.05054376524e-17,1164,0,1.32697014582
23,0.00990382010415,-0.0317830189454,0.575749396149,0.0,0.0317830189454,8,4.79639175258,3.66358744126,4.79639175258,1.52097162306,1.91530676764e-17,1164,0,1.29844284256
24,0.00640505033746,-0.0261813113845,0.581814635873,-1.63218921008e-20,0.0261813113845,8,4.84450171821,3.50751001671,4.84450171821,1.54398700957,5.93450548295e-17,1164,0,1.25490638879
25,0.00645195268492,-0.0251057418192,0.581926598494,-1.3282244341e-20,0.0251057418192,8,4.93362068966,3.42731889897,4.93362068966,1.53518750767,5.88124140981e-17,1160,0,1.23177829341
26,0.00644801365426,-0.0267416888415,0.593012013885,0.0,0.0267416888415,8,4.93598615917,3.34120054255,4.93598615917,1.52750530945,-4.33793547145e-18,1156,0,1.20633018628
27,0.00646650348461,-0.0252153665886,0.588739101784,0.0,0.0252153665886,9,4.97829861111,3.39403015969,4.97829861111,1.52481142541,-3.59498774753e-17,1152,0,1.22201805295
28,0.00997458528736,-0.0314832455536,0.584825972594,1.73611655609e-20,0.0314832455536,8,4.91968911917,3.27529956177,4.91968911917,1.53472502589,1.89160613269e-17,1158,0,1.18640933415
29,0.0097853101394,-0.0301756734328,0.593696243212,0.0,0.0301756734328,8,5.088441331,3.21203380179,5.088441331,1.53250462485,1.58524050978e-17,1142,0,1.16690431963
30,0.00647760864342,-0.0257832451647,0.593844089099,8.9602369774e-21,0.0257832451647,9,4.98959236774,3.14354953959,4.98959236774,1.50508680943,3.99705806133e-17,1153,0,1.14535258809
31,0.00995526852045,-0.0297741330608,0.612484599931,0.0,0.0297741330608,9,5.03652173913,3.06397424962,5.03652173913,1.49156063205,4.03843625207e-18,1150,0,1.11971284767
