Iteration,ExplainedVariance,StdReturn,MeanKLBefore,MeanKL,LossBefore,MaxReturn,dLoss,Perplexity,LossAfter,Entropy,AverageReturn,MinReturn,AverageDiscountedReturn,NumTrajs
0,7.10181125019e-09,1.26791329734,0.0,0.009895519915,6.11549925357e-16,5,0.0561055631912,10.8348885146,-0.0561055631912,2.38277134556,1.17358490566,0,1.17358490566,265
1,0.0943755957166,1.24886725535,0.0,0.00649410116422,-5.32502022931e-17,5,0.044230623312,10.771808018,-0.044230623312,2.37693235248,1.38181818182,0,1.38181818182,275
2,0.0764448841749,1.34438631977,0.0,0.00916931085725,-2.54241072639e-17,6,0.0533927820981,10.6748658499,-0.0533927820981,2.36789199228,1.52280701754,0,1.52280701754,285
3,0.0536009785979,1.39740988872,0.0,0.00653020892341,-1.91322149598e-17,6,0.0411869962974,10.5626885112,-0.0411869962974,2.35732783974,1.68512110727,0,1.68512110727,289
4,0.100428750761,1.3826277663,0.0,0.0067546018988,-8.54658064445e-18,6,0.0373977811578,10.489193188,-0.0373977811578,2.35034550697,1.8013029316,0,1.8013029316,307
5,0.13529541642,1.43237478715,-7.86310914697e-21,0.00965255834985,1.38466328838e-18,6,0.0412923135583,10.3884541496,-0.0412923135583,2.34069501152,1.80555555556,0,1.80555555556,324
6,0.158802552705,1.43149940323,0.0,0.0068902971997,6.61639658603e-18,6,0.0380165277177,10.1504584488,-0.0380165277177,2.31751887183,1.98142414861,0,1.98142414861,323
7,0.157479661072,1.44861982876,0.0,0.00972975037523,-8.3903830878e-17,7,0.0489474214106,10.096606449,-0.0489474214106,2.31219937224,1.88923076923,0,1.88923076923,325
8,0.170415726683,1.54084551094,0.0,0.00663388940321,1.16646841369e-17,7,0.0380182561842,9.90031271532,-0.0380182561842,2.29256634405,2.02064896755,0,2.02064896755,339
9,0.104786910928,1.56935757318,5.94487733135e-20,0.00652406894827,8.54060316274e-17,6,0.0344419449648,9.69619905009,-0.0344419449648,2.27173395821,2.16526610644,0,2.16526610644,357
10,0.159271754224,1.58969409082,0.0,0.00975568368709,3.13879236732e-17,6,0.0449459737397,9.6118964957,-0.0449459737397,2.26300154958,2.23032069971,0,2.23032069971,343
11,0.181483528882,1.67342875379,0.0,0.00964735362781,-6.43607550507e-18,7,0.044767004686,9.44059762739,-0.044767004686,2.24501928614,2.44023323615,0,2.44023323615,343
12,0.151995203222,1.61739256795,5.16356852436e-20,0.00743369799325,-7.45692867975e-17,7,0.0404910321555,9.35065622792,-0.0404910321555,2.23544652564,2.26912181303,0,2.26912181303,353
13,0.157494077872,1.71177519935,0.0,0.00683117159806,-2.97956104234e-17,8,0.0389744981177,9.21949939396,-0.0389744981177,2.22132074043,2.43768115942,0,2.43768115942,345
14,0.14194041468,1.64848117515,-2.08521234913e-20,0.0071424238116,1.16807308998e-17,7,0.0384979825483,9.10124639811,-0.0384979825483,2.20841137097,2.36440677966,0,2.36440677966,354
15,0.179540807344,1.62187734157,0.0,0.00691126797438,-1.86070279601e-16,7,0.0440263834547,8.99200915889,-0.0440263834547,2.19633631171,2.34166666667,0,2.34166666667,360
16,0.215440896449,1.67341825111,-3.82577260734e-21,0.0066510183709,8.59331975735e-17,7,0.0407742935789,8.76809881118,-0.0407742935789,2.17111999967,2.53735632184,0,2.53735632184,348
17,0.234004158834,1.65877620741,0.0,0.00694786186706,-4.29692302798e-17,7,0.0412878255476,8.40899422876,-0.0412878255476,2.12930187453,2.63112391931,0,2.63112391931,347
18,0.23691174714,1.68270725634,0.0,0.00678612355794,7.92225012582e-18,7,0.0398066742367,8.30598447624,-0.0398066742367,2.11697627623,2.69590643275,0,2.69590643275,342
19,0.261306976777,1.65715216195,0.0,0.00675781617886,-1.81521464526e-17,8,0.0409666207816,8.07120774712,-0.0409666207816,2.08830312996,2.74096385542,0,2.74096385542,332
20,0.19883273484,1.68906188658,0.0,0.0099962475779,2.99161892863e-17,7,0.0509799584986,7.90742185315,-0.0509799584986,2.06780179352,2.65217391304,0,2.65217391304,345
21,0.278900230127,1.73588986098,0.0,0.0066112698547,-1.03906908015e-16,8,0.0405752402861,7.44715328524,-0.0405752402861,2.00783185001,3.03846153846,0,3.03846153846,338
22,0.272006124923,1.64968458312,-6.89862632599e-21,0.0064322722585,1.976501914e-17,8,0.0384918807231,7.21833877962,-0.0384918807231,1.97662484051,2.92375366569,0,2.92375366569,341
23,0.321315446999,1.68398598027,0.0,0.00661251995802,9.4321796195e-18,8,0.0387565626566,6.97035324006,-0.0387565626566,1.94166590355,3.28828828829,0,3.28828828829,333
24,0.333594747106,1.62188474812,-6.68365469623e-20,0.00653581780636,-1.08126911744e-17,7,0.0384857386538,6.64978946921,-0.0384857386538,1.8945851954,3.19526627219,0,3.19526627219,338
25,0.318849822705,1.69789775562,0.0,0.00659291583586,2.30026238252e-17,8,0.0430094279045,6.53011716471,-0.0430094279045,1.87642488566,3.3005952381,0,3.3005952381,336
26,0.34392772625,1.66523059553,0.0,0.00648984522941,-2.90323320939e-17,8,0.0383168051821,6.23708035698,-0.0383168051821,1.83051218138,3.4371257485,0,3.4371257485,334
27,0.305564468211,1.70175015845,0.0,0.00997708928509,-2.11286199991e-17,7,0.0464885777071,6.18844181537,-0.0464885777071,1.8226833289,3.23053892216,0,3.23053892216,334
28,0.332382335268,1.6257335515,0.0,0.0065161127744,5.65642834064e-17,8,0.0399016900405,5.82482519318,-0.0399016900405,1.76212898925,3.33738601824,0,3.33738601824,329
29,0.320539941712,1.73594208886,0.0,0.00985054108134,-5.30433727799e-17,8,0.0482067006865,5.64193595014,-0.0482067006865,1.73022726018,3.46788990826,0,3.46788990826,327
