length,reward,score
42,6,6
35,9,9
44,8,8
46,5,5
42,9,9
41,7,7
42,7,7
44,12,12
37,4,4
43,9,9
26,5,5
38,9,9
44,6,6
34,7,7
43,8,8
42,8,8
43,10,10
40,4,4
45,9,9
43,10,10
46,5,5
42,8,8
38,8,8
40,8,8
39,8,8
44,8,8
46,6,6
33,6,6
38,8,8
43,6,6
37,8,8
39,9,9
30,8,8
39,8,8
23,3,3
46,7,7
30,8,8
29,4,4
44,11,11
43,8,8
44,7,7
42,8,8
40,5,5
36,6,6
41,5,5
37,8,8
36,9,9
36,6,6
42,9,9
38,5,5
43,11,11
39,7,7
39,10,10
42,9,9
42,7,7
28,9,9
34,3,3
31,9,9
35,7,7
42,9,9
35,9,9
36,8,8
42,10,10
43,9,9
43,5,5
44,9,9
43,8,8
42,10,10
30,6,6
43,10,10
42,11,11
44,5,5
39,9,9
33,7,7
45,7,7
39,10,10
39,9,9
32,6,6
33,8,8
37,8,8
44,7,7
38,8,8
40,11,11
43,7,7
26,4,4
39,10,10
35,6,6
43,9,9
41,11,11
33,7,7
36,10,10
29,5,5
43,9,9
25,3,3
31,6,6
26,4,4
39,7,7
39,10,10
42,8,8
40,4,4
37,7,7
42,9,9
43,8,8
42,9,9
33,7,7
38,8,8
45,7,7
28,10,10
40,7,7
41,7,7
38,7,7
26,3,3
47,6,6
41,10,10
37,8,8
29,4,4
27,7,7
42,10,10
39,7,7
44,7,7
29,5,5
41,9,9
42,6,6
36,9,9
31,6,6
43,8,8
28,5,5
36,4,4
36,7,7
45,6,6
45,9,9
48,5,5
43,9,9
35,8,8
46,8,8
44,9,9
40,7,7
41,7,7
41,10,10
27,4,4
36,7,7
46,7,7
44,10,10
38,8,8
43,6,6
25,5,5
20,3,3
26,3,3
23,4,4
36,8,8
36,7,7
44,5,5
39,8,8
29,4,4
27,7,7
36,5,5
26,6,6
37,9,9
32,9,9
34,6,6
40,10,10
31,6,6
42,8,8
29,6,6
41,9,9
44,12,12
31,7,7
41,10,10
32,9,9
43,8,8
33,9,9
41,8,8
33,6,6
32,7,7
40,6,6
39,5,5
40,9,9
43,9,9
21,4,4
30,7,7
38,8,8
41,8,8
43,5,5
31,5,5
40,9,9
40,9,9
40,7,7
32,5,5
42,6,6
43,7,7
40,11,11
34,8,8
37,8,8
31,8,8
32,5,5
45,4,4
43,8,8
40,7,7
41,8,8
24,4,4
47,6,6
33,7,7
38,11,11
39,8,8
39,10,10
31,9,9
32,11,11
43,7,7
45,7,7
35,8,8
40,8,8
39,12,12
46,6,6
43,5,5
41,8,8
40,9,9
43,4,4
39,9,9
37,8,8
41,9,9
35,9,9
43,10,10
35,5,5
35,11,11
35,7,7
44,7,7
31,7,7
29,8,8
42,6,6
44,7,7
42,9,9
40,6,6
35,8,8
36,7,7
39,11,11
42,5,5
29,8,8
42,8,8
38,11,11
44,9,9
40,9,9
26,6,6
35,7,7
40,7,7
37,7,7
32,6,6
42,7,7
40,8,8
40,4,4
40,8,8
40,6,6
39,5,5
43,6,6
37,8,8
43,6,6
36,7,7
41,7,7
44,8,8
32,8,8
43,9,9
40,8,8
39,9,9
22,6,6
45,9,9
34,7,7
40,8,8
42,6,6
30,7,7
46,8,8
42,6,6
37,7,7
38,7,7
38,10,10
44,8,8
37,7,7
43,9,9
40,7,7
43,8,8
38,10,10
29,9,9
27,3,3
42,9,9
38,10,10
45,8,8
45,9,9
43,7,7
39,6,6
46,7,7
43,9,9
41,9,9
32,8,8
43,10,10
41,9,9
39,7,7
28,6,6
43,9,9
40,7,7
29,4,4
37,8,8
35,5,5
36,7,7
37,9,9
45,10,10
45,8,8
42,8,8
44,9,9
43,10,10
31,5,5
44,8,8
38,8,8
45,7,7
44,11,11
43,8,8
43,9,9
47,7,7
37,11,11
30,4,4
44,5,5
45,10,10
45,7,7
44,9,9
40,6,6
40,9,9
37,9,9
34,8,8
41,9,9
31,4,4
41,9,9
40,9,9
42,5,5
44,8,8
39,7,7
39,9,9
36,5,5
36,9,9
43,7,7
35,4,4
22,4,4
43,8,8
47,6,6
44,8,8
35,8,8
36,10,10
43,7,7
39,9,9
33,4,4
44,9,9
40,8,8
40,11,11
37,10,10
31,4,4
41,7,7
32,8,8
36,7,7
45,9,9
39,7,7
46,8,8
43,9,9
43,6,6
44,8,8
38,8,8
29,8,8
37,6,6
32,6,6
38,5,5
44,8,8
41,8,8
37,6,6
46,9,9
44,10,10
43,11,11
36,9,9
47,10,10
30,10,10
36,11,11
41,8,8
44,10,10
43,10,10
36,7,7
39,7,7
28,7,7
45,8,8
43,11,11
43,10,10
39,8,8
31,9,9
45,8,8
42,6,6
44,8,8
43,9,9
24,5,5
38,4,4
32,9,9
37,9,9
40,12,12
38,6,6
43,6,6
42,9,9
45,8,8
44,8,8
45,9,9
31,7,7
35,10,10
37,7,7
42,6,6
40,8,8
42,11,11
32,4,4
29,7,7
40,12,12
42,7,7
35,6,6
39,11,11
43,8,8
41,9,9
44,11,11
32,10,10
46,5,5
39,7,7
36,8,8
34,8,8
43,6,6
36,9,9
33,5,5
46,8,8
29,4,4
40,7,7
45,7,7
42,7,7
41,8,8
38,7,7
37,8,8
46,8,8
47,7,7
32,9,9
29,8,8
41,8,8
40,10,10
40,6,6
37,7,7
37,7,7
44,8,8
46,8,8
41,11,11
36,7,7
43,10,10
45,8,8
39,6,6
42,11,11
36,7,7
39,7,7
23,3,3
41,7,7
43,9,9
35,7,7
40,7,7
40,5,5
44,9,9
47,7,7
42,6,6
40,13,13
