length,reward,score
24,5,5
43,7,7
52,5,5
44,7,7
27,6,6
56,9,9
40,3,3
71,8,8
41,7,7
72,6,6
63,5,5
53,10,10
69,6,6
61,9,9
36,5,5
60,4,4
46,6,6
61,3,3
41,7,7
60,8,8
30,7,7
59,6,6
66,9,9
35,5,5
51,9,9
58,5,5
34,4,4
67,7,7
41,4,4
17,3,3
55,8,8
33,5,5
59,5,5
19,2,2
70,5,5
36,5,5
55,7,7
28,3,3
44,7,7
63,6,6
30,7,7
43,8,8
41,3,3
70,6,6
40,6,6
43,5,5
53,5,5
54,7,7
62,7,7
56,5,5
61,9,9
19,6,6
59,8,8
60,7,7
52,6,6
67,9,9
51,6,6
17,5,5
58,6,6
59,7,7
57,8,8
61,5,5
54,4,4
68,8,8
53,6,6
76,5,5
68,9,9
60,6,6
66,8,8
59,8,8
62,3,3
65,5,5
55,6,6
74,7,7
37,4,4
43,4,4
39,4,4
72,6,6
44,10,10
46,7,7
48,7,7
65,4,4
61,5,5
49,6,6
44,5,5
38,4,4
16,3,3
71,8,8
63,7,7
32,3,3
68,5,5
57,8,8
45,7,7
40,6,6
44,7,7
18,3,3
67,8,8
67,6,6
66,6,6
70,7,7
59,6,6
64,8,8
69,5,5
48,8,8
18,4,4
30,5,5
63,4,4
56,9,9
56,10,10
49,7,7
68,7,7
54,4,4
49,8,8
32,6,6
75,5,5
59,10,10
19,4,4
65,7,7
51,7,7
56,7,7
52,8,8
50,6,6
50,3,3
57,6,6
65,5,5
48,7,7
47,9,9
58,6,6
36,4,4
70,7,7
52,7,7
76,7,7
70,9,9
20,3,3
42,8,8
59,7,7
36,5,5
45,4,4
54,8,8
59,7,7
32,3,3
31,6,6
29,6,6
55,7,7
47,6,6
31,3,3
30,4,4
50,10,10
59,8,8
48,3,3
58,9,9
47,5,5
66,6,6
49,8,8
36,5,5
27,6,6
40,4,4
64,5,5
56,7,7
63,9,9
22,5,5
51,6,6
49,5,5
57,6,6
29,4,4
22,3,3
73,8,8
53,7,7
24,6,6
61,7,7
45,4,4
63,6,6
44,7,7
54,7,7
75,5,5
38,4,4
58,6,6
43,4,4
58,7,7
54,8,8
24,7,7
56,6,6
42,9,9
61,7,7
41,7,7
64,6,6
59,7,7
49,5,5
56,5,5
53,7,7
40,7,7
52,7,7
46,5,5
55,5,5
71,6,6
47,5,5
67,4,4
63,7,7
43,9,9
65,6,6
69,8,8
39,4,4
62,6,6
34,6,6
29,4,4
39,4,4
36,4,4
71,8,8
59,4,4
66,6,6
58,5,5
71,7,7
60,7,7
31,6,6
59,4,4
50,6,6
53,5,5
66,8,8
28,7,7
31,6,6
50,9,9
28,5,5
45,7,7
50,5,5
70,7,7
36,4,4
39,7,7
58,9,9
66,9,9
50,7,7
53,11,11
76,7,7
29,3,3
53,6,6
66,8,8
70,4,4
51,6,6
60,9,9
59,4,4
56,5,5
56,8,8
35,5,5
30,6,6
19,4,4
32,7,7
47,5,5
46,8,8
19,3,3
60,7,7
65,7,7
40,7,7
58,6,6
45,6,6
63,6,6
59,7,7
55,8,8
51,7,7
48,6,6
38,5,5
42,2,2
24,2,2
64,7,7
42,4,4
46,5,5
53,7,7
71,4,4
16,3,3
60,6,6
71,7,7
48,5,5
39,4,4
30,3,3
45,4,4
38,8,8
56,8,8
25,3,3
40,5,5
24,5,5
22,5,5
69,6,6
49,8,8
39,5,5
40,7,7
45,3,3
57,9,9
63,5,5
57,7,7
51,6,6
42,5,5
34,6,6
57,6,6
64,6,6
35,5,5
52,6,6
66,7,7
56,8,8
29,6,6
36,7,7
50,9,9
45,4,4
48,6,6
38,3,3
44,9,9
56,7,7
57,6,6
61,6,6
63,6,6
71,9,9
58,8,8
44,3,3
56,9,9
41,5,5
37,7,7
44,7,7
50,8,8
23,7,7
59,8,8
62,6,6
57,10,10
27,6,6
36,8,8
28,6,6
51,6,6
33,7,7
58,8,8
43,6,6
46,7,7
31,5,5
25,4,4
42,2,2
29,5,5
55,7,7
46,6,6
43,4,4
53,4,4
65,4,4
59,8,8
46,4,4
58,9,9
59,6,6
67,6,6
38,6,6
65,7,7
56,8,8
68,8,8
53,7,7
56,9,9
35,5,5
49,7,7
53,7,7
40,6,6
55,7,7
59,9,9
32,3,3
46,8,8
73,8,8
39,6,6
29,4,4
65,5,5
20,6,6
50,6,6
72,7,7
41,4,4
68,5,5
39,5,5
60,5,5
52,7,7
40,5,5
44,8,8
30,7,7
51,5,5
19,5,5
30,3,3
38,6,6
48,3,3
43,6,6
47,7,7
54,10,10
27,4,4
36,5,5
67,8,8
35,5,5
31,4,4
53,8,8
39,6,6
40,4,4
70,6,6
61,6,6
46,5,5
47,6,6
40,7,7
39,7,7
27,5,5
30,7,7
37,3,3
64,7,7
34,4,4
38,6,6
22,3,3
57,7,7
52,6,6
51,6,6
55,5,5
52,8,8
40,7,7
58,6,6
36,5,5
36,7,7
49,4,4
55,8,8
67,8,8
37,4,4
46,5,5
56,7,7
54,9,9
57,8,8
71,8,8
53,8,8
38,5,5
47,7,7
63,8,8
37,6,6
58,8,8
70,7,7
61,6,6
70,8,8
51,7,7
18,5,5
31,5,5
25,6,6
60,8,8
39,7,7
63,7,7
36,6,6
68,7,7
62,8,8
60,9,9
46,4,4
52,6,6
62,8,8
35,5,5
58,11,11
44,8,8
44,4,4
63,7,7
45,3,3
53,6,6
55,10,10
45,7,7
57,5,5
41,6,6
68,6,6
48,9,9
71,7,7
67,8,8
64,8,8
66,9,9
67,7,7
55,5,5
60,10,10
36,5,5
33,8,8
48,8,8
59,7,7
60,4,4
51,6,6
61,7,7
43,6,6
44,6,6
70,7,7
36,8,8
29,4,4
48,6,6
68,8,8
38,7,7
61,7,7
24,3,3
36,6,6
21,2,2
34,6,6
36,5,5
47,8,8
33,3,3
59,5,5
46,7,7
74,4,4
69,7,7
61,6,6
70,7,7
40,6,6
49,6,6
58,7,7
39,3,3
61,7,7
28,4,4
60,6,6
16,4,4
25,5,5
60,7,7
47,5,5
42,2,2
57,8,8
17,3,3
69,5,5
39,8,8
73,6,6
48,8,8
