length,reward,score
32,7,7
41,11,11
30,5,5
23,3,3
35,8,8
34,7,7
30,4,4
37,5,5
35,5,5
45,8,8
44,8,8
33,9,9
45,6,6
36,6,6
37,7,7
36,6,6
27,4,4
36,7,7
39,3,3
39,9,9
43,10,10
32,10,10
36,5,5
35,8,8
45,6,6
37,7,7
37,6,6
39,5,5
37,7,7
30,5,5
36,8,8
39,9,9
38,8,8
30,5,5
33,10,10
36,8,8
26,9,9
34,7,7
44,9,9
31,6,6
37,3,3
30,5,5
27,5,5
38,7,7
35,8,8
24,4,4
42,7,7
36,8,8
31,4,4
36,8,8
44,3,3
39,8,8
35,5,5
29,4,4
43,9,9
31,9,9
35,7,7
38,2,2
42,5,5
27,5,5
43,5,5
42,7,7
37,6,6
43,8,8
43,10,10
40,3,3
36,4,4
31,8,8
37,8,8
24,7,7
31,4,4
30,6,6
36,6,6
43,10,10
36,7,7
44,8,8
32,10,10
37,12,12
35,9,9
36,7,7
35,8,8
45,8,8
35,9,9
27,7,7
28,6,6
32,7,7
30,8,8
38,8,8
36,6,6
43,7,7
38,10,10
34,8,8
30,2,2
33,9,9
32,7,7
17,1,1
39,4,4
30,5,5
33,5,5
36,11,11
38,5,5
42,7,7
32,7,7
33,7,7
30,7,7
36,8,8
31,3,3
40,12,12
42,9,9
28,3,3
32,4,4
23,2,2
42,7,7
38,4,4
31,8,8
33,5,5
19,2,2
39,9,9
26,6,6
34,5,5
30,7,7
29,7,7
30,7,7
35,6,6
36,5,5
39,7,7
30,5,5
29,6,6
32,8,8
34,3,3
39,8,8
31,10,10
37,7,7
33,4,4
37,8,8
33,6,6
31,6,6
36,7,7
38,5,5
36,4,4
34,7,7
30,5,5
32,3,3
43,8,8
40,11,11
29,4,4
31,4,4
35,9,9
37,7,7
31,4,4
44,6,6
23,4,4
33,8,8
29,3,3
33,9,9
41,6,6
44,9,9
28,8,8
43,7,7
37,4,4
29,7,7
32,4,4
33,7,7
35,9,9
46,6,6
33,7,7
35,10,10
38,3,3
34,6,6
29,8,8
37,8,8
46,7,7
48,5,5
25,6,6
45,7,7
43,8,8
28,7,7
25,3,3
31,9,9
44,7,7
29,6,6
28,3,3
28,3,3
30,7,7
40,5,5
36,9,9
37,7,7
34,4,4
32,4,4
44,6,6
39,4,4
37,5,5
34,7,7
28,4,4
23,4,4
37,7,7
35,9,9
28,7,7
38,7,7
32,10,10
42,6,6
35,7,7
40,8,8
37,10,10
31,7,7
30,6,6
20,2,2
32,6,6
40,7,7
43,5,5
36,4,4
30,7,7
30,6,6
41,7,7
36,5,5
37,7,7
39,6,6
26,4,4
41,7,7
41,3,3
34,7,7
35,9,9
27,2,2
41,10,10
32,7,7
39,8,8
31,7,7
34,6,6
36,6,6
32,4,4
30,6,6
39,7,7
37,10,10
28,6,6
44,9,9
32,11,11
27,7,7
31,8,8
37,7,7
35,7,7
33,6,6
43,7,7
35,7,7
38,8,8
39,6,6
30,9,9
33,7,7
32,9,9
46,6,6
32,6,6
18,4,4
34,9,9
37,6,6
34,6,6
35,6,6
36,10,10
41,5,5
27,6,6
44,7,7
27,5,5
33,6,6
24,4,4
35,6,6
38,7,7
38,6,6
46,7,7
38,7,7
36,6,6
38,7,7
20,3,3
19,4,4
35,5,5
37,3,3
43,5,5
28,4,4
30,9,9
35,4,4
34,11,11
38,12,12
34,8,8
33,7,7
42,10,10
32,8,8
32,3,3
27,4,4
42,7,7
23,4,4
33,6,6
31,9,9
33,9,9
37,9,9
32,7,7
24,3,3
38,5,5
36,6,6
31,8,8
39,10,10
32,11,11
38,10,10
37,7,7
23,3,3
29,4,4
28,4,4
33,4,4
32,5,5
30,5,5
38,6,6
33,10,10
37,7,7
28,4,4
46,6,6
33,7,7
34,6,6
40,7,7
39,9,9
39,6,6
34,7,7
34,4,4
45,9,9
35,5,5
42,10,10
38,9,9
41,5,5
32,8,8
42,5,5
45,7,7
27,5,5
35,6,6
42,7,7
41,9,9
30,6,6
37,6,6
30,9,9
36,7,7
38,7,7
38,7,7
40,5,5
34,4,4
42,8,8
41,6,6
36,11,11
42,10,10
40,7,7
33,7,7
34,8,8
23,8,8
37,7,7
35,6,6
30,3,3
36,6,6
33,9,9
40,4,4
36,5,5
37,6,6
31,8,8
42,8,8
32,6,6
41,8,8
35,5,5
39,4,4
46,7,7
49,6,6
29,5,5
37,6,6
42,7,7
37,4,4
42,10,10
42,5,5
35,8,8
26,3,3
41,5,5
42,9,9
25,7,7
31,7,7
45,8,8
29,3,3
36,4,4
30,8,8
45,4,4
32,7,7
20,3,3
36,3,3
30,5,5
34,10,10
33,6,6
34,6,6
35,3,3
35,7,7
35,6,6
30,7,7
34,6,6
34,7,7
38,4,4
45,10,10
34,10,10
44,8,8
23,4,4
30,7,7
47,7,7
29,4,4
45,8,8
35,8,8
39,4,4
35,5,5
32,5,5
28,7,7
27,11,11
32,7,7
41,7,7
47,7,7
32,4,4
27,4,4
37,6,6
35,5,5
29,10,10
39,3,3
36,6,6
36,6,6
47,6,6
41,10,10
33,4,4
52,2,2
29,3,3
28,4,4
34,8,8
32,3,3
32,7,7
14,3,3
11,2,2
29,6,6
34,5,5
40,3,3
39,7,7
37,11,11
40,5,5
40,8,8
38,5,5
31,6,6
35,6,6
34,6,6
37,7,7
32,6,6
30,3,3
33,8,8
37,4,4
30,7,7
30,8,8
35,5,5
33,6,6
44,6,6
37,10,10
30,3,3
36,9,9
28,4,4
37,8,8
48,5,5
31,3,3
37,8,8
35,6,6
38,7,7
30,3,3
29,7,7
30,5,5
39,6,6
30,5,5
28,5,5
34,8,8
37,10,10
38,7,7
37,6,6
40,7,7
27,9,9
28,3,3
35,5,5
47,5,5
42,7,7
32,9,9
36,6,6
32,5,5
29,8,8
43,6,6
43,9,9
17,2,2
44,7,7
29,7,7
31,5,5
34,6,6
42,7,7
28,9,9
35,5,5
34,4,4
44,7,7
27,7,7
37,5,5
41,6,6
36,8,8
25,4,4
42,7,7
40,6,6
39,4,4
36,5,5
29,5,5
37,7,7
39,7,7
43,5,5
33,9,9
38,9,9
39,6,6
39,9,9
38,7,7
41,7,7
37,10,10
37,7,7
31,6,6
45,7,7
34,6,6
38,7,7
26,5,5
39,10,10
40,3,3
26,7,7
40,6,6
36,11,11
34,8,8
30,7,7
26,6,6
33,3,3
36,7,7
28,8,8
28,8,8
36,5,5
40,4,4
38,8,8
39,8,8
34,9,9
39,8,8
36,7,7
41,9,9
26,4,4
37,10,10
18,3,3
40,9,9
37,8,8
38,11,11
26,3,3
36,7,7
37,6,6
43,4,4
24,4,4
35,9,9
29,5,5
22,6,6
41,10,10
32,7,7
33,4,4
27,6,6
46,5,5
34,9,9
35,8,8
42,7,7
39,10,10
36,9,9
27,3,3
30,4,4
34,7,7
37,6,6
42,7,7
37,8,8
25,4,4
33,7,7
44,4,4
31,7,7
38,4,4
38,8,8
37,7,7
37,7,7
37,7,7
35,6,6
36,3,3
43,6,6
32,5,5
36,4,4
43,7,7
30,7,7
41,8,8
35,9,9
41,5,5
30,6,6
45,4,4
41,4,4
40,6,6
35,7,7
29,4,4
37,6,6
32,7,7
24,5,5
37,6,6
34,10,10
31,8,8
30,4,4
44,5,5
43,6,6
33,8,8
36,3,3
43,11,11
34,10,10
33,7,7
36,7,7
29,5,5
44,8,8
24,4,4
38,6,6
42,8,8
44,7,7
47,6,6
35,5,5
46,6,6
28,8,8
27,8,8
30,8,8
29,4,4
33,8,8
31,5,5
25,4,4
34,6,6
44,6,6
33,5,5
29,3,3
23,3,3
27,5,5
28,5,5
47,6,6
39,4,4
37,7,7
44,3,3
37,9,9
30,7,7
35,5,5
32,4,4
42,10,10
37,5,5
22,3,3
30,6,6
40,9,9
32,9,9
45,6,6
42,9,9
44,8,8
42,7,7
35,6,6
47,7,7
39,9,9
35,3,3
30,7,7
25,4,4
32,5,5
43,8,8
27,4,4
29,7,7
32,5,5
35,5,5
36,4,4
38,7,7
43,5,5
36,6,6
24,4,4
49,6,6
32,7,7
41,8,8
39,5,5
30,5,5
34,6,6
34,7,7
37,5,5
44,8,8
42,6,6
37,8,8
37,6,6
45,8,8
44,6,6
39,7,7
31,7,7
31,6,6
33,4,4
32,7,7
45,4,4
33,3,3
32,7,7
41,6,6
39,7,7
39,4,4
28,6,6
32,5,5
39,6,6
44,6,6
32,8,8
47,7,7
38,6,6
40,9,9
33,10,10
41,6,6
38,7,7
27,4,4
42,8,8
38,8,8
47,4,4
31,4,4
44,10,10
37,9,9
33,2,2
46,9,9
24,5,5
35,5,5
32,9,9
28,6,6
34,7,7
38,4,4
44,6,6
37,8,8
41,9,9
46,6,6
42,9,9
41,6,6
40,7,7
39,9,9
33,8,8
33,6,6
34,7,7
43,8,8
43,7,7
27,8,8
38,8,8
23,4,4
32,3,3
40,5,5
45,6,6
24,4,4
34,5,5
32,6,6
30,7,7
29,5,5
41,10,10
29,5,5
29,8,8
29,5,5
42,4,4
29,8,8
34,9,9
46,6,6
36,11,11
44,8,8
33,5,5
44,6,6
37,5,5
24,8,8
31,5,5
34,6,6
45,7,7
40,6,6
38,8,8
26,7,7
36,5,5
37,10,10
38,8,8
36,6,6
31,8,8
36,8,8
44,5,5
33,9,9
32,10,10
27,7,7
23,2,2
40,8,8
29,8,8
49,4,4
40,7,7
36,7,7
43,3,3
31,6,6
43,6,6
40,6,6
29,6,6
27,7,7
36,6,6
31,6,6
15,3,3
43,4,4
27,5,5
40,8,8
38,9,9
30,7,7
30,4,4
37,6,6
34,4,4
24,3,3
25,7,7
37,7,7
45,6,6
32,8,8
43,7,7
28,7,7
39,3,3
37,6,6
35,4,4
34,4,4
37,7,7
28,6,6
33,5,5
31,4,4
38,4,4
43,5,5
35,5,5
32,4,4
38,7,7
42,9,9
28,6,6
38,6,6
35,10,10
40,8,8
28,7,7
31,8,8
29,6,6
41,9,9
38,7,7
30,8,8
38,8,8
33,7,7
29,8,8
45,5,5
21,2,2
34,3,3
21,5,5
40,11,11
33,5,5
36,5,5
42,5,5
42,9,9
36,5,5
42,7,7
42,7,7
41,7,7
36,7,7
48,6,6
34,8,8
27,4,4
25,3,3
36,9,9
43,5,5
35,4,4
35,6,6
37,5,5
42,6,6
39,3,3
43,9,9
41,9,9
38,7,7
34,6,6
42,6,6
47,5,5
47,4,4
49,4,4
31,8,8
41,5,5
32,5,5
33,6,6
42,7,7
43,4,4
33,5,5
32,7,7
47,7,7
36,5,5
33,6,6
30,8,8
27,7,7
35,7,7
39,9,9
29,5,5
36,7,7
38,9,9
27,4,4
28,5,5
36,7,7
40,3,3
34,6,6
37,5,5
22,4,4
33,5,5
39,7,7
39,7,7
28,7,7
32,9,9
28,5,5
40,6,6
30,10,10
37,6,6
43,8,8
41,8,8
39,7,7
30,3,3
38,8,8
35,9,9
31,6,6
40,8,8
34,9,9
34,6,6
18,3,3
39,6,6
46,5,5
27,4,4
44,7,7
35,7,7
42,9,9
46,4,4
38,3,3
34,8,8
33,9,9
42,5,5
41,7,7
30,6,6
37,5,5
38,5,5
42,9,9
32,9,9
37,3,3
49,5,5
30,5,5
37,6,6
38,9,9
45,6,6
34,8,8
44,6,6
43,5,5
29,5,5
43,7,7
43,7,7
47,5,5
36,9,9
37,5,5
38,9,9
31,9,9
27,4,4
33,5,5
37,9,9
39,9,9
37,7,7
32,5,5
33,7,7
40,9,9
24,4,4
35,9,9
35,6,6
35,4,4
37,10,10
34,7,7
32,10,10
32,7,7
39,3,3
33,9,9
27,4,4
50,3,3
44,8,8
28,5,5
29,2,2
34,4,4
41,7,7
35,6,6
47,7,7
37,9,9
37,7,7
23,2,2
25,5,5
34,4,4
34,4,4
23,3,3
36,3,3
38,7,7
34,5,5
39,8,8
46,8,8
32,8,8
23,6,6
38,6,6
43,7,7
39,3,3
45,5,5
27,4,4
30,12,12
30,5,5
25,9,9
39,4,4
36,7,7
43,9,9
33,10,10
37,9,9
25,3,3
34,6,6
29,7,7
29,8,8
28,3,3
35,4,4
