Iteration,dLoss,LossBefore,MinReturn,StdReturn,MeanKL,MeanKLBefore,MaxReturn,AverageDiscountedReturn,Entropy,AverageReturn,ExplainedVariance,NumTrajs,LossAfter,Perplexity
0,0.0462149428067,-1.11852893254e-16,-1,1.58225994912,0.0064410192743,0.0,9,1.16519823789,2.66211555418,1.16519823789,3.15910031468e-09,454,-0.0462149428067,14.3265656874
1,0.0482636450105,-4.97284507408e-17,-1,1.60558792855,0.00642382481505,0.0,7,1.38359201774,2.65155360756,1.38359201774,0.105851360618,451,-0.0482636450105,14.1760455574
2,0.0481434227928,2.1421948888e-17,-1,1.68468407817,0.00652079469763,0.0,10,1.6711409396,2.65214569034,1.6711409396,0.0989951663097,447,-0.0481434227928,14.1844414352
3,0.0549602845399,-6.54426815365e-17,-1,1.61512041935,0.00942579600965,0.0,7,1.72943722944,2.64187930027,1.72943722944,0.131373785252,462,-0.0549602845399,14.0395633862
4,0.0554820676942,9.42982334181e-19,-1,1.85370023465,0.00975006107201,0.0,9,2.07589285714,2.62767200779,2.07589285714,0.0320341641402,448,-0.0554820676942,13.8415094395
5,0.0472799391214,6.40822169863e-17,-1,1.80298553942,0.00645529667893,0.0,9,2.12555066079,2.61872442823,2.12555066079,0.0285597479568,454,-0.0472799391214,13.7182138536
6,0.0451629201216,-4.4408920985e-17,-1,1.85612339449,0.00657814775929,0.0,9,2.22943722944,2.60399949607,2.22943722944,0.103469011977,462,-0.0451629201216,13.5176940289
7,0.0466044127788,3.40479025882e-17,-1,1.78325418072,0.00649426122433,0.0,8,2.19787234043,2.59882647214,2.19787234043,0.0579016441276,470,-0.0466044127788,13.4479472306
8,0.0451191834944,4.45975174518e-17,-1,1.71539561354,0.00651021341145,0.0,9,2.29017857143,2.5943682742,2.29017857143,0.0908212906884,448,-0.0451191834944,13.3881270642
9,0.0496784721849,-7.65269776395e-17,-1,1.81128185958,0.00654691181613,0.0,10,2.27668845316,2.58887292856,2.27668845316,0.0833139974118,459,-0.0496784721849,13.3147564615
10,0.0447783849153,-3.91712871257e-17,-1,1.78924355566,0.00643623596266,0.0,9,2.26077586207,2.58015652901,2.26077586207,0.0610381760685,464,-0.0447783849153,13.1992040564
11,0.0549459824129,-9.2070654126e-17,0,1.87568802654,0.00964955319859,0.0,10,2.3247311828,2.57888676995,2.3247311828,0.0286448889401,465,-0.0549459824129,13.1824548833
12,0.0454249082887,-1.55791595466e-17,0,1.72851059375,0.00647510320794,0.0,8,2.36129032258,2.57666722242,2.36129032258,0.117831758875,465,-0.0454249082887,13.1532282451
13,0.0561292384424,-5.20285067073e-17,0,1.70524314459,0.00999415107826,0.0,10,2.24742268041,2.56501340779,2.24742268041,0.112348083665,485,-0.0561292384424,13.0008326809
14,0.0545903529378,-1.9250503865e-17,-1,1.71545090627,0.009690579705,0.0,9,2.36422413793,2.56851111106,2.36422413793,0.0986944533783,464,-0.0545903529378,13.0463853544
15,0.0538349101806,2.07230534581e-17,-1,1.71285151558,0.00974422293215,0.0,9,2.37130801688,2.56754752939,2.37130801688,0.12942828631,474,-0.0538349101806,13.0338201513
16,0.0429081679734,-3.61860721493e-17,0,1.77246335418,0.00643108407507,0.0,10,2.48565121413,2.56399214135,2.48565121413,0.147149175564,453,-0.0429081679734,12.9875621443
17,0.0436808403272,1.23482858007e-16,0,1.74756843282,0.00654444687879,0.0,10,2.53463203463,2.56257207093,2.53463203463,0.196580169625,462,-0.0436808403272,12.9691319807
18,0.0563117009327,1.73064993097e-17,0,1.71678240562,0.0095913262134,0.0,10,2.34947368421,2.55147736822,2.34947368421,0.13312204113,475,-0.0563117009327,12.8260385741
19,0.0449973644084,-6.63192459099e-18,-1,1.71114854463,0.00647396129233,0.0,10,2.40481400438,2.54715443008,2.40481400438,0.163558317291,457,-0.0449973644084,12.7707120755
20,0.0516180885391,3.01548509286e-16,-1,1.70274518876,0.00991474687273,0.0,8,2.46681415929,2.54166886067,2.46681415929,0.153288464748,452,-0.0516180885391,12.700849242
21,0.047285908549,1.49101344795e-17,0,1.77110842878,0.00661992014669,0.0,10,2.44086021505,2.53191755143,2.44086021505,0.141060112893,465,-0.047285908549,12.5776012247
22,0.0566646996303,2.06779038336e-17,0,1.73971323702,0.0098348056093,0.0,8,2.47902869757,2.5256365867,2.47902869757,0.154708302168,453,-0.0566646996303,12.4988493329
23,0.045855886671,-6.78715972867e-17,0,1.80653633467,0.00656060724498,0.0,9,2.56849315068,2.52265996756,2.56849315068,0.1675757926,438,-0.045855886671,12.4617003353
24,0.0417636212056,2.94392013956e-17,0,1.64472291683,0.00646853676592,0.0,9,2.28813559322,2.51269097725,2.28813559322,0.12149724464,472,-0.0417636212056,12.3380869395
25,0.0473464872237,4.3156873063e-17,0,1.75098485018,0.00642106629067,0.0,10,2.58390804598,2.49994038878,2.58390804598,0.196441338889,435,-0.0473464872237,12.181767769
26,0.0457828433365,-1.90776279225e-17,-1,1.73608446549,0.00649752206804,0.0,10,2.42760180995,2.49733367008,2.42760180995,0.153118077669,442,-0.0457828433365,12.1500546787
27,0.0469395536887,1.40130624203e-17,-1,1.64638590099,0.00651256687572,0.0,9,2.42105263158,2.48803333577,2.42105263158,0.0781767143055,437,-0.0469395536887,12.03757895
28,0.0562758466295,-1.84718618755e-16,0,1.73011563681,0.00998333231663,0.0,8,2.52154195011,2.46951265985,2.52154195011,0.150023585196,441,-0.0562758466295,11.8166867023
29,0.0575583068811,3.49822897065e-17,0,1.84691568587,0.00989411685909,0.0,10,2.70183486239,2.47523857311,2.70183486239,0.115707334571,436,-0.0575583068811,11.8845421071
30,0.0554314979438,1.19391931854e-16,0,1.77298570413,0.00956152990328,0.0,10,2.6198156682,2.47044748733,2.6198156682,0.176343275472,434,-0.0554314979438,11.8277384307
31,0.0456580726656,-3.85309437938e-17,-1,1.7790799913,0.00641739992463,0.0,9,2.45842696629,2.48448118838,2.45842696629,0.136408867992,445,-0.0456580726656,11.9948955491
32,0.0538758827182,4.46188021782e-17,0,1.79571296124,0.00965093839613,0.0,10,2.60613207547,2.47087571976,2.60613207547,0.134772469303,424,-0.0538758827182,11.8328045365
33,0.0443334092691,2.11787862875e-17,0,1.80355812119,0.00662444972745,0.0,8,2.7645631068,2.47668338423,2.7645631068,0.19552708346,412,-0.0443334092691,11.9017254361
34,0.0483236231006,-7.07337396558e-17,0,1.76249659119,0.00643972836133,0.0,9,2.66197183099,2.47194042527,2.66197183099,0.161961734324,426,-0.0483236231006,11.8454096979
35,0.0467565331707,-4.39988560795e-17,0,1.87058935469,0.00659264925494,0.0,11,2.76699029126,2.4598667762,2.76699029126,0.206993970285,412,-0.0467565331707,11.7032522843
36,0.0455409637223,1.44528534034e-17,0,1.70724327053,0.0064141342012,0.0,10,2.63294117647,2.45513056223,2.63294117647,0.146097992813,425,-0.0455409637223,11.6479542325
37,0.0594694109144,-1.58139714277e-17,-1,1.72506560955,0.00993639090885,0.0,9,2.60722891566,2.43780464317,2.60722891566,0.150407140227,415,-0.0594694109144,11.4478809519
38,0.0448615904817,-1.06901145744e-17,0,1.65606702799,0.00644420489207,0.0,8,2.57073170732,2.43364566022,2.57073170732,0.186537661877,410,-0.0448615904817,11.4003682809
39,0.0471581709878,-4.60187443707e-17,-1,1.81071105202,0.00655553164245,0.0,9,2.80152671756,2.42649951936,2.80152671756,0.205239369522,393,-0.0471581709878,11.3191900443
40,0.0476165117011,-8.08960822962e-18,0,1.71855084144,0.00652524299479,0.0,8,2.7960199005,2.41374246814,2.7960199005,0.179360768639,402,-0.0476165117011,11.1757077088
41,0.0575829550028,-3.42894555077e-17,0,1.6917608834,0.00993716123952,0.0,9,2.65664160401,2.40343085047,2.65664160401,0.133835827337,399,-0.0575829550028,11.0610602002
42,0.058889689624,-4.66848781855e-17,0,1.69549719664,0.00998942161304,0.0,9,2.87272727273,2.37888957597,2.87272727273,0.237519668999,385,-0.058889689624,10.7929114992
43,0.046875762701,-4.48530101949e-17,0,1.84755488872,0.00645960174287,0.0,9,3.06233062331,2.37091997406,3.06233062331,0.232802695948,369,-0.046875762701,10.7072381358
