length,reward,score
61,7,7
39,7,7
56,6,6
54,8,8
46,7,7
50,9,9
53,10,10
42,5,5
32,4,4
49,4,4
57,7,7
48,6,6
65,7,7
52,8,8
51,8,8
59,7,7
49,6,6
44,8,8
47,7,7
46,8,8
25,3,3
38,8,8
46,6,6
62,6,6
60,7,7
50,14,14
61,5,5
59,4,4
72,7,7
58,9,9
47,7,7
58,5,5
46,8,8
65,4,4
31,4,4
66,8,8
60,8,8
41,6,6
45,6,6
60,7,7
55,5,5
50,5,5
41,6,6
65,6,6
49,8,8
55,7,7
61,7,7
41,3,3
33,6,6
58,5,5
60,6,6
62,8,8
23,6,6
64,7,7
38,5,5
43,6,6
70,5,5
51,5,5
53,7,7
53,13,13
66,5,5
69,6,6
68,7,7
54,5,5
61,7,7
49,5,5
58,5,5
54,8,8
40,8,8
48,4,4
44,6,6
61,8,8
53,5,5
32,4,4
53,6,6
71,8,8
50,6,6
54,6,6
34,4,4
59,5,5
69,5,5
57,5,5
58,6,6
57,5,5
66,7,7
54,6,6
51,5,5
66,4,4
48,3,3
55,3,3
41,5,5
49,8,8
41,7,7
41,7,7
55,5,5
48,5,5
60,4,4
64,7,7
64,9,9
59,7,7
42,4,4
50,5,5
45,3,3
45,6,6
40,7,7
59,5,5
51,7,7
55,8,8
59,5,5
52,7,7
54,4,4
36,4,4
51,7,7
36,5,5
57,8,8
59,9,9
45,8,8
60,4,4
46,6,6
54,4,4
54,7,7
59,6,6
45,5,5
62,8,8
48,9,9
50,6,6
74,5,5
52,6,6
47,4,4
43,5,5
43,7,7
50,2,2
63,6,6
54,9,9
49,7,7
35,3,3
62,8,8
69,8,8
52,11,11
60,5,5
39,6,6
55,9,9
44,6,6
54,7,7
46,7,7
24,4,4
50,6,6
75,5,5
61,8,8
47,7,7
57,7,7
50,5,5
51,8,8
59,8,8
54,5,5
50,13,13
58,4,4
55,8,8
44,3,3
56,8,8
41,4,4
58,9,9
40,7,7
62,8,8
34,5,5
43,8,8
62,9,9
59,6,6
54,7,7
64,3,3
58,6,6
59,7,7
42,9,9
47,9,9
58,7,7
52,8,8
49,6,6
54,9,9
52,4,4
67,4,4
45,5,5
57,8,8
49,6,6
58,8,8
51,7,7
74,3,3
65,11,11
52,10,10
48,6,6
47,7,7
30,3,3
57,7,7
44,7,7
53,9,9
52,2,2
36,6,6
59,5,5
65,4,4
58,7,7
53,6,6
37,5,5
49,5,5
51,7,7
63,7,7
58,4,4
44,9,9
64,6,6
49,3,3
30,5,5
43,4,4
51,10,10
36,7,7
58,5,5
59,10,10
44,5,5
39,5,5
58,4,4
56,8,8
54,6,6
41,4,4
45,7,7
45,5,5
61,8,8
48,6,6
30,4,4
33,5,5
48,3,3
55,10,10
51,9,9
46,8,8
56,11,11
42,4,4
67,6,6
58,7,7
59,7,7
46,4,4
43,5,5
56,8,8
53,6,6
43,6,6
67,4,4
37,6,6
56,7,7
66,8,8
56,7,7
52,6,6
31,3,3
62,7,7
37,4,4
45,6,6
62,7,7
62,9,9
60,7,7
39,6,6
31,5,5
34,3,3
56,6,6
63,7,7
63,9,9
49,3,3
61,10,10
47,8,8
45,9,9
44,9,9
62,7,7
56,7,7
52,10,10
44,6,6
62,8,8
61,8,8
48,7,7
67,2,2
60,8,8
61,8,8
59,11,11
53,5,5
69,6,6
34,9,9
43,7,7
63,7,7
60,8,8
49,7,7
57,6,6
54,8,8
64,4,4
27,4,4
57,9,9
66,6,6
48,9,9
48,3,3
40,8,8
57,5,5
64,8,8
57,7,7
57,7,7
69,3,3
56,5,5
55,7,7
49,8,8
23,2,2
35,6,6
36,6,6
53,8,8
56,5,5
52,6,6
57,7,7
73,3,3
52,7,7
71,6,6
55,3,3
60,8,8
46,7,7
46,5,5
53,8,8
49,8,8
41,6,6
45,6,6
62,8,8
68,6,6
49,6,6
61,7,7
46,3,3
60,7,7
49,5,5
39,6,6
53,4,4
50,9,9
27,2,2
33,7,7
48,7,7
34,4,4
53,6,6
58,5,5
63,7,7
52,7,7
59,7,7
63,3,3
52,5,5
43,9,9
43,5,5
54,8,8
31,3,3
38,6,6
62,7,7
73,4,4
54,5,5
28,3,3
61,5,5
57,7,7
28,5,5
38,3,3
49,7,7
63,11,11
39,3,3
60,4,4
61,7,7
63,9,9
60,8,8
59,4,4
73,5,5
39,5,5
73,4,4
50,5,5
56,13,13
59,9,9
60,7,7
50,3,3
45,8,8
66,8,8
50,7,7
59,5,5
58,7,7
50,7,7
51,5,5
59,5,5
47,4,4
51,8,8
25,3,3
62,9,9
60,5,5
44,7,7
43,9,9
49,6,6
36,7,7
38,3,3
68,6,6
65,8,8
50,8,8
55,7,7
54,7,7
45,6,6
49,5,5
48,6,6
72,5,5
48,9,9
61,8,8
75,2,2
45,7,7
36,6,6
65,11,11
46,3,3
52,8,8
53,7,7
43,6,6
43,5,5
56,5,5
49,5,5
53,6,6
60,5,5
46,3,3
38,4,4
53,4,4
48,10,10
47,6,6
54,12,12
54,6,6
43,7,7
47,8,8
56,7,7
32,5,5
42,10,10
64,4,4
64,4,4
60,9,9
69,6,6
60,7,7
52,9,9
64,10,10
62,4,4
65,7,7
28,4,4
63,8,8
57,7,7
62,8,8
35,5,5
67,5,5
46,5,5
42,6,6
65,5,5
54,7,7
58,6,6
48,3,3
37,7,7
61,7,7
62,11,11
67,3,3
66,4,4
41,8,8
56,4,4
45,9,9
63,7,7
57,6,6
64,6,6
39,5,5
43,6,6
66,7,7
48,7,7
53,7,7
54,6,6
35,7,7
60,6,6
36,8,8
52,4,4
57,8,8
44,5,5
37,5,5
57,5,5
54,6,6
54,7,7
51,6,6
58,7,7
50,6,6
70,4,4
44,6,6
47,6,6
26,5,5
59,8,8
63,4,4
50,6,6
54,10,10
62,8,8
59,5,5
59,8,8
53,7,7
45,4,4
57,5,5
54,3,3
39,4,4
51,6,6
59,5,5
26,3,3
58,4,4
43,8,8
55,7,7
49,8,8
35,3,3
52,8,8
41,5,5
42,3,3
56,7,7
60,8,8
51,4,4
63,6,6
45,7,7
45,6,6
45,7,7
63,7,7
51,7,7
66,5,5
73,8,8
71,6,6
49,8,8
52,7,7
55,6,6
46,9,9
45,10,10
56,8,8
53,9,9
43,4,4
48,6,6
58,5,5
48,6,6
52,7,7
29,4,4
56,7,7
62,7,7
68,7,7
75,6,6
42,4,4
52,7,7
48,8,8
27,5,5
57,3,3
46,7,7
62,9,9
68,4,4
67,5,5
56,6,6
64,6,6
48,6,6
50,2,2
40,5,5
61,5,5
63,8,8
68,6,6
62,6,6
53,4,4
53,9,9
44,3,3
35,5,5
59,8,8
49,6,6
62,5,5
35,7,7
40,6,6
55,6,6
55,7,7
67,4,4
62,10,10
31,5,5
56,6,6
67,8,8
37,5,5
57,6,6
57,4,4
23,2,2
56,7,7
44,6,6
68,8,8
57,6,6
51,9,9
57,6,6
57,7,7
59,5,5
56,7,7
64,7,7
56,9,9
49,5,5
33,3,3
28,3,3
39,6,6
45,8,8
51,6,6
45,6,6
51,7,7
49,5,5
44,3,3
57,7,7
74,3,3
70,6,6
42,6,6
53,9,9
40,4,4
59,6,6
57,7,7
41,3,3
48,5,5
49,7,7
48,7,7
51,10,10
43,5,5
63,5,5
30,5,5
51,8,8
36,4,4
33,4,4
50,14,14
48,11,11
45,8,8
54,5,5
44,7,7
44,8,8
54,6,6
53,8,8
40,5,5
45,7,7
61,8,8
60,10,10
64,9,9
38,7,7
52,7,7
36,5,5
64,2,2
40,7,7
49,7,7
47,9,9
43,6,6
54,4,4
58,4,4
62,3,3
34,5,5
61,5,5
44,6,6
52,4,4
39,7,7
73,5,5
42,5,5
46,3,3
45,7,7
33,3,3
49,6,6
56,8,8
44,6,6
45,9,9
51,6,6
58,4,4
52,7,7
56,10,10
61,7,7
48,7,7
60,9,9
23,3,3
68,6,6
54,5,5
62,7,7
64,5,5
42,7,7
57,9,9
53,6,6
61,5,5
63,7,7
53,8,8
59,6,6
70,7,7
47,7,7
62,3,3
56,7,7
35,4,4
43,10,10
41,7,7
38,4,4
61,6,6
62,6,6
71,8,8
47,6,6
59,6,6
27,3,3
31,5,5
29,4,4
52,7,7
48,4,4
70,7,7
60,8,8
41,5,5
55,8,8
62,8,8
56,7,7
48,6,6
59,6,6
39,6,6
57,7,7
58,7,7
52,8,8
43,7,7
46,5,5
55,9,9
52,6,6
25,4,4
69,7,7
48,7,7
34,6,6
59,7,7
60,10,10
53,4,4
68,7,7
68,6,6
51,5,5
49,9,9
62,4,4
41,7,7
53,4,4
43,5,5
46,6,6
60,3,3
70,4,4
41,4,4
20,5,5
50,5,5
46,2,2
56,5,5
59,7,7
60,7,7
70,6,6
71,7,7
55,6,6
63,8,8
46,7,7
53,8,8
56,10,10
47,5,5
49,8,8
52,5,5
51,8,8
50,5,5
50,9,9
53,3,3
50,8,8
43,5,5
54,3,3
41,9,9
59,6,6
51,5,5
45,8,8
48,8,8
54,11,11
46,5,5
65,8,8
56,5,5
38,3,3
53,7,7
54,3,3
60,10,10
45,6,6
49,4,4
36,5,5
55,8,8
56,8,8
49,3,3
53,6,6
62,7,7
61,4,4
42,6,6
48,4,4
63,6,6
45,5,5
40,6,6
55,7,7
47,5,5
47,7,7
48,3,3
55,6,6
67,3,3
27,2,2
61,7,7
55,8,8
56,10,10
47,8,8
70,6,6
45,6,6
65,8,8
66,3,3
58,10,10
48,12,12
50,6,6
63,6,6
50,7,7
47,8,8
71,6,6
46,8,8
58,7,7
57,6,6
49,6,6
49,6,6
57,7,7
40,8,8
40,7,7
39,5,5
49,6,6
65,9,9
45,7,7
61,3,3
50,7,7
60,6,6
64,5,5
59,8,8
61,7,7
42,7,7
59,7,7
53,3,3
57,3,3
45,3,3
55,9,9
55,3,3
52,7,7
32,4,4
43,8,8
55,7,7
47,8,8
48,5,5
50,3,3
60,4,4
52,5,5
41,4,4
60,12,12
31,3,3
58,7,7
56,7,7
36,3,3
54,8,8
53,6,6
46,7,7
59,4,4
50,7,7
46,6,6
50,3,3
68,6,6
55,3,3
67,6,6
48,4,4
40,7,7
29,5,5
45,6,6
59,7,7
62,9,9
46,7,7
67,4,4
41,4,4
62,7,7
52,9,9
67,8,8
47,5,5
40,7,7
48,6,6
63,8,8
47,8,8
68,7,7
48,6,6
35,4,4
76,7,7
46,9,9
63,6,6
49,6,6
39,5,5
50,5,5
49,8,8
55,4,4
40,7,7
41,7,7
54,8,8
53,9,9
60,6,6
58,8,8
55,7,7
38,7,7
38,3,3
47,6,6
56,8,8
61,7,7
64,10,10
65,5,5
58,6,6
56,6,6
68,4,4
59,7,7
58,9,9
51,9,9
49,5,5
58,8,8
51,6,6
38,4,4
55,7,7
30,3,3
60,6,6
58,10,10
56,8,8
51,4,4
45,3,3
48,3,3
61,5,5
38,4,4
47,8,8
52,7,7
25,3,3
63,4,4
58,3,3
55,6,6
53,6,6
44,8,8
49,9,9
40,4,4
40,6,6
55,5,5
61,9,9
43,9,9
56,8,8
50,6,6
58,11,11
52,8,8
55,6,6
54,4,4
41,3,3
74,5,5
65,8,8
34,3,3
41,9,9
52,7,7
62,4,4
61,8,8
52,2,2
67,6,6
60,7,7
56,10,10
41,5,5
34,7,7
50,7,7
54,5,5
49,7,7
59,10,10
36,5,5
54,9,9
38,7,7
43,7,7
57,6,6
57,2,2
28,3,3
61,6,6
41,4,4
53,5,5
72,8,8
51,9,9
61,8,8
64,9,9
46,3,3
49,7,7
36,8,8
55,7,7
62,6,6
61,6,6
48,6,6
57,6,6
42,8,8
43,10,10
52,8,8
66,4,4
37,6,6
51,8,8
59,7,7
38,5,5
66,10,10
33,3,3
55,7,7
48,8,8
53,5,5
70,5,5
61,9,9
46,6,6
65,5,5
50,4,4
57,10,10
63,7,7
62,10,10
47,5,5
56,3,3
60,6,6
58,8,8
58,8,8
44,6,6
49,7,7
51,10,10
61,7,7
29,3,3
61,7,7
40,6,6
44,6,6
56,9,9
43,8,8
51,6,6
65,3,3
44,5,5
47,8,8
