length,reward,score
44,10,10
44,11,11
40,11,11
44,11,11
46,6,6
28,7,7
42,9,9
26,5,5
40,12,12
44,12,12
38,9,9
40,12,12
28,4,4
44,9,9
42,11,11
48,9,9
32,5,5
38,7,7
44,13,13
44,9,9
44,9,9
42,10,10
42,9,9
46,8,8
40,10,10
34,10,10
44,10,10
42,11,11
46,9,9
36,7,7
46,5,5
44,8,8
40,11,11
44,8,8
46,9,9
46,7,7
44,8,8
42,10,10
42,7,7
36,6,6
42,7,7
44,8,8
46,9,9
40,9,9
40,9,9
42,9,9
42,10,10
42,8,8
38,12,12
42,10,10
42,9,9
44,12,12
44,9,9
44,10,10
46,11,11
38,6,6
46,6,6
18,5,5
38,4,4
44,12,12
44,9,9
42,8,8
42,8,8
42,7,7
44,9,9
40,9,9
44,8,8
42,10,10
44,9,9
44,9,9
34,6,6
44,12,12
44,9,9
38,9,9
44,12,12
40,7,7
44,10,10
42,10,10
48,8,8
38,9,9
40,6,6
40,8,8
44,12,12
44,10,10
44,11,11
44,9,9
42,10,10
44,12,12
44,11,11
44,10,10
44,9,9
46,12,12
44,12,12
34,4,4
44,11,11
42,10,10
44,10,10
42,10,10
46,8,8
46,9,9
42,10,10
38,8,8
36,9,9
48,8,8
44,8,8
42,9,9
42,11,11
44,7,7
42,10,10
38,9,9
46,8,8
38,6,6
42,11,11
36,9,9
32,7,7
42,9,9
30,5,5
24,4,4
38,9,9
44,12,12
46,9,9
38,6,6
46,9,9
36,7,7
42,12,12
44,8,8
34,9,9
46,9,9
44,11,11
44,11,11
48,10,10
42,9,9
50,7,7
40,10,10
48,8,8
44,13,13
40,11,11
42,11,11
40,11,11
44,11,11
48,8,8
44,7,7
38,6,6
44,11,11
42,11,11
44,12,12
42,13,13
30,6,6
42,7,7
48,8,8
44,9,9
44,11,11
36,8,8
40,13,13
38,5,5
46,7,7
24,2,2
40,8,8
48,7,7
42,12,12
44,8,8
42,12,12
44,11,11
44,10,10
44,11,11
42,12,12
38,11,11
44,12,12
44,8,8
44,10,10
38,10,10
44,9,9
42,10,10
44,11,11
44,11,11
46,12,12
44,11,11
46,12,12
42,10,10
44,12,12
44,10,10
46,13,13
40,8,8
42,9,9
46,10,10
46,6,6
42,12,12
38,13,13
48,8,8
44,10,10
44,6,6
40,6,6
40,9,9
44,10,10
42,5,5
42,11,11
46,10,10
30,5,5
42,11,11
38,10,10
44,12,12
40,11,11
46,8,8
34,8,8
38,10,10
42,11,11
42,11,11
46,12,12
48,8,8
46,10,10
40,8,8
44,9,9
50,4,4
42,11,11
32,7,7
38,7,7
42,11,11
28,4,4
42,7,7
40,7,7
42,12,12
44,12,12
38,7,7
32,5,5
42,11,11
42,10,10
38,8,8
34,9,9
46,12,12
46,8,8
42,11,11
46,10,10
40,11,11
40,10,10
46,7,7
46,10,10
44,8,8
42,12,12
48,9,9
46,9,9
42,11,11
28,4,4
40,13,13
44,5,5
44,10,10
44,10,10
42,8,8
38,10,10
44,11,11
44,10,10
42,11,11
46,9,9
46,10,10
42,11,11
42,11,11
42,6,6
44,13,13
48,9,9
44,11,11
42,10,10
42,10,10
42,10,10
40,10,10
38,7,7
42,7,7
44,10,10
20,3,3
48,9,9
28,5,5
46,9,9
42,9,9
40,11,11
42,13,13
44,7,7
44,12,12
38,9,9
38,4,4
40,11,11
46,8,8
