Iteration,MeanKLBefore,LossAfter,Perplexity,AverageReturn,AverageDiscountedReturn,dLoss,MinReturn,MaxReturn,NumTrajs,MeanKL,LossBefore,ExplainedVariance,StdReturn,Entropy
0,0.0,-0.052050421908,13.6303751306,0.982142857143,0.982142857143,0.052050421908,0,5,224,0.00643235765983,7.45736279206e-17,3.97484489767e-09,1.37569555691,2.61230076775
1,0.0,-0.055297542794,13.7177377224,1.10666666667,1.10666666667,0.055297542794,0,6,225,0.00659110727559,-1.74192077908e-17,-0.0324261452527,1.37830814165,2.61868971967
2,0.0,-0.0534343287709,13.7659814509,1.22123893805,1.22123893805,0.0534343287709,0,5,226,0.00649800773202,5.54695490695e-20,-0.00706345919673,1.46785324719,2.62220043652
3,0.0,-0.052499907921,13.7733684348,1.31050228311,1.31050228311,0.052499907921,0,8,219,0.00651288035642,7.6859462698e-17,-0.0917925771406,1.65918757248,2.62273690409
4,0.0,-0.0549907867909,13.8005244647,1.60089686099,1.60089686099,0.0549907867909,0,8,223,0.00691988749137,4.29441589735e-17,0.0402975240242,1.67208661112,2.62470659613
5,0.0,-0.0568390510762,13.75483736,1.76548672566,1.76548672566,0.0568390510762,0,9,226,0.00666022055943,6.23078688983e-17,0.0328643439905,1.92166363726,2.62139057024
6,0.0,-0.0553791705497,13.6788440517,1.99545454545,1.99545454545,0.0553791705497,0,7,220,0.00697535809736,-9.12896071617e-17,0.0237267988152,1.96445164052,2.61585040948
7,0.0,-0.0570825305136,13.6047566364,2.06493506494,2.06493506494,0.0570825305136,0,9,231,0.00661269265383,-3.38303547059e-17,-0.0940090439365,1.87259337502,2.61041948427
8,0.0,-0.0555784499727,13.5191393155,2.19213973799,2.19213973799,0.0555784499727,0,8,229,0.00644726255269,-1.61058571113e-17,-0.192363834637,1.83077268094,2.60410640849
9,0.0,-0.0574818996884,13.4281358242,2.45814977974,2.45814977974,0.0574818996884,0,11,227,0.00683864973587,-1.03988591375e-17,0.0902278982253,2.11596867863,2.59735219406
10,0.0,-0.0517264790659,13.0606537669,2.69026548673,2.69026548673,0.0517264790659,0,9,226,0.00654023003882,-1.45704686325e-16,-0.025953596914,2.09330853853,2.56960418132
11,0.0,-0.0529856045433,12.929851604,2.61607142857,2.61607142857,0.0529856045433,0,9,224,0.00646615831661,8.57710414675e-17,-0.0822073614759,1.89334141379,2.55953871585
12,0.0,-0.0570262068761,12.6907641681,3.27727272727,3.27727272727,0.0570262068761,0,10,220,0.00663993130024,-4.26157392304e-18,0.00790029064784,2.10636088986,2.54087449805
13,0.0,-0.0542599316483,12.6418685609,3.4703196347,3.4703196347,0.0542599316483,0,10,219,0.00652690619767,1.63219148137e-16,0.134639625667,1.90476101118,2.53701420698
14,0.0,-0.0535654791831,12.3527430285,3.56221198157,3.56221198157,0.0535654791831,0,9,217,0.0066218416259,8.36491446905e-17,0.161070007902,1.97146713509,2.51387814598
15,0.0,-0.0535997699928,12.2305222641,3.47247706422,3.47247706422,0.0535997699928,0,9,218,0.00673243763453,5.60504972447e-17,0.16745471801,1.89438434044,2.50393465231
16,0.0,-0.0524764385657,12.0307459053,3.61502347418,3.61502347418,0.0524764385657,0,11,213,0.00661300440453,8.02150667007e-17,0.0673203435211,2.08102530355,2.48746553183
17,0.0,-0.0544327031422,11.5840528846,4.16744186047,4.16744186047,0.0544327031422,0,10,215,0.00673242220725,-6.42893533349e-18,0.292524989395,2.10422840415,2.44962940095
18,0.0,-0.0511126321407,11.51225111,4.06542056075,4.06542056075,0.0511126321407,0,9,214,0.00652650506444,-4.94876375955e-17,0.17547590338,2.16933181511,2.44341178223
19,0.0,-0.0503806403022,11.2258044617,4.28909952607,4.28909952607,0.0503806403022,0,9,211,0.00657233237472,-1.53821081907e-17,0.196084521878,2.07600250311,2.41821509802
20,0.0,-0.0531107338191,11.1095492064,4.20283018868,4.20283018868,0.0531107338191,0,12,212,0.00649585470918,-1.14036357498e-16,0.245609846166,2.12828913251,2.40780502735
21,0.0,-0.0532103566779,10.8055799458,4.41314553991,4.41314553991,0.0532103566779,0,9,213,0.00655669914532,2.92134861098e-17,0.280776827425,1.93029126763,2.38006266235
22,0.0,-0.0544125024803,10.5607117713,4.47887323944,4.47887323944,0.0544125024803,0,9,213,0.00651631290708,-6.85896947151e-17,0.278548725766,2.05460084832,2.3571406786
23,0.0,-0.0505534210787,10.4019915845,4.56018518519,4.56018518519,0.0505534210787,0,10,216,0.00656306896853,-1.98078280789e-16,0.287638356409,2.05617587404,2.34199728632
24,0.0,-0.0519842216653,10.2037887287,4.76605504587,4.76605504587,0.0519842216653,0,12,218,0.00651732983201,-2.10577480083e-16,0.234636786192,2.34136007614,2.32275909531
25,0.0,-0.0549001257333,9.85507500258,4.98571428571,4.98571428571,0.0549001257333,0,10,210,0.00647596587096,-1.90213035688e-17,0.198909230827,2.14582334388,2.28798655119
26,0.0,-0.0518323688751,9.94302814399,4.72897196262,4.72897196262,0.0518323688751,0,11,214,0.00655498868222,4.7736266867e-17,0.286528043615,2.03736174215,2.29687161653
27,0.0,-0.0525678239172,9.66120300136,4.73059360731,4.73059360731,0.0525678239172,0,12,219,0.00648497739037,1.23198227957e-16,0.214496121525,2.38057686769,2.26811817477
28,0.0,-0.0517739940081,9.4647516169,5.11737089202,5.11737089202,0.0517739940081,0,11,213,0.00644791839202,2.09653476e-17,0.267944096339,2.06020388218,2.24757454205
29,0.0,-0.0544192665557,9.41641762641,4.90740740741,4.90740740741,0.0544192665557,0,10,216,0.0065438658554,-4.84028473616e-17,0.364474661692,1.90047283121,2.24245472182
30,0.0,-0.0524190303917,9.32150390049,5.21962616822,5.21962616822,0.0524190303917,0,12,214,0.00648302733941,2.89906987305e-17,0.386783827307,2.00778574518,2.23232397839
31,0.0,-0.0507117936657,9.07042720924,5.14351851852,5.14351851852,0.0507117936657,0,11,216,0.00642897044081,9.55802353307e-17,0.360739970904,1.98437289041,2.20501936437
32,0.0,-0.0520243399994,8.89597975623,5.46046511628,5.46046511628,0.0520243399994,0,11,215,0.00652524395071,1.15955395283e-16,0.364016577076,2.22816428091,2.1855994619
33,0.0,-0.06674298941,8.95185015914,5.27314814815,5.27314814815,0.06674298941,0,11,216,0.00998899258755,-3.69336038616e-17,0.315816162677,2.05805132938,2.19186023261
34,0.0,-0.0517483715561,8.74208291261,5.20183486239,5.20183486239,0.0517483715561,0,12,218,0.00647841961535,3.21555123284e-17,0.375392223669,1.99209362236,2.16814848079
35,0.0,-0.053030622299,8.59460266056,5.52830188679,5.52830188679,0.053030622299,0,11,212,0.0064972837086,-4.11753964258e-17,0.404551363514,2.03139299343,2.15113440863
36,0.0,-0.0607617292863,8.41939352478,5.74881516588,5.74881516588,0.0607617292863,0,12,211,0.00984924084803,5.20261462212e-17,0.396842286585,2.21122427948,2.13053779772
37,0.0,-0.0509842910085,8.28155144695,5.38248847926,5.38248847926,0.0509842910085,0,11,217,0.00650634074452,3.22349613535e-17,0.364880610345,2.0760355877,2.11403032367
38,0.0,-0.0549048901374,8.0816068706,5.62037037037,5.62037037037,0.0549048901374,1,12,216,0.0064103717549,-9.47907093115e-18,0.366968259789,2.15044178318,2.08959072288
39,0.0,-0.049498983984,8.0633575357,5.5,5.5,0.049498983984,0,11,222,0.00646707383792,-3.2916020795e-17,0.359735923579,2.2952163336,2.08733003748
40,0.0,-0.0518582154979,7.88235659101,5.6320754717,5.6320754717,0.0518582154979,0,11,212,0.0064310345828,1.44102191288e-17,0.346024643068,2.16457530672,2.06462691893
41,0.0,-0.0531151484321,7.82488581181,5.85167464115,5.85167464115,0.0531151484321,0,11,209,0.00652895226436,-2.13699201909e-17,0.358054409306,2.12120972287,2.05730914358
42,0.0,-0.0597366570646,7.71994592322,5.78037383178,5.78037383178,0.0597366570646,0,11,214,0.00982454330566,-8.08342157255e-17,0.408827329426,2.1472407529,2.04380735925
43,0.0,-0.0598169177972,7.44622771511,5.85844748858,5.85844748858,0.0598169177972,0,11,219,0.00983951825361,-2.03018549594e-17,0.443314979414,2.20482231151,2.00770755719
44,0.0,-0.055722342923,7.54923602084,5.80373831776,5.80373831776,0.055722342923,0,11,214,0.00647207692805,2.88153717397e-17,0.434326799502,2.0321677222,2.02144636885
45,0.0,-0.0617498695675,7.34809195953,5.70093457944,5.70093457944,0.0617498695675,0,11,214,0.00996092604,6.20305001691e-17,0.407519980279,2.00333811738,1.99444068218
46,0.0,-0.0514210172045,7.33727979262,5.97156398104,5.97156398104,0.0514210172045,0,12,211,0.00650188250379,1.66118158298e-18,0.420274794677,2.23694674262,1.99296817348
47,0.0,-0.0636944638802,7.11214768199,6.14354066986,6.14354066986,0.0636944638802,0,12,209,0.009948354202,-5.74659644989e-18,0.421717119316,1.99484236873,1.96180426318
48,0.0,-0.0541852356272,7.03404830328,6.23557692308,6.23557692308,0.0541852356272,0,12,208,0.00641982031614,1.86743219941e-17,0.406491552906,2.2949115229,1.95076240114
49,0.0,-0.0502456962144,7.06969063327,6.02790697674,6.02790697674,0.0502456962144,0,11,215,0.00652438286127,-1.7761355141e-17,0.414545031657,2.16078426561,1.95581672128
50,0.0,-0.060539229867,6.86123252454,6.54807692308,6.54807692308,0.060539229867,0,13,208,0.00989003698219,-4.44532081164e-17,0.488854646011,2.14332509331,1.9258870939
51,0.0,-0.0638558628145,6.73900862577,6.15023474178,6.15023474178,0.0638558628145,0,10,213,0.00994425781861,-8.95216020106e-17,0.448965821437,1.96828431315,1.90791282594
52,0.0,-0.0638448545053,6.82992941338,6.27014218009,6.27014218009,0.0638448545053,0,11,211,0.00991899463323,5.1411525292e-17,0.442809614617,2.34834003663,1.92131433874
53,0.0,-0.0619604712077,6.76387892296,6.36057692308,6.36057692308,0.0619604712077,1,12,208,0.00987822756574,-6.13953332618e-17,0.479761127957,2.1007745032,1.91159653066
54,0.0,-0.06295550119,6.76494070175,6.45454545455,6.45454545455,0.06295550119,0,12,209,0.00996263109539,1.0086900443e-16,0.482966071174,2.06105164523,1.91175349614
55,0.0,-0.0524882219421,6.60306605142,6.21052631579,6.21052631579,0.0524882219421,0,11,209,0.00645084647813,-1.36873015764e-17,0.500724179925,2.13283382048,1.88753409441
56,0.0,-0.0505273833575,6.43207711593,6.38647342995,6.38647342995,0.0505273833575,0,12,207,0.00644646724582,-7.98604551575e-17,0.445813275815,2.17926341055,1.86129752122
