length,reward,score
60,10,10
62,9,9
66,12,12
64,15,15
60,12,12
50,9,9
62,11,11
60,10,10
56,9,9
64,13,13
66,9,9
60,11,11
60,13,13
52,7,7
62,13,13
58,8,8
64,14,14
66,10,10
62,13,13
52,8,8
56,7,7
66,13,13
66,14,14
62,10,10
60,11,11
70,8,8
58,10,10
70,14,14
56,8,8
60,13,13
62,9,9
66,14,14
52,11,11
60,13,13
58,11,11
66,9,9
58,8,8
64,12,12
56,11,11
68,13,13
58,12,12
58,13,13
56,7,7
62,10,10
62,9,9
54,9,9
66,13,13
64,11,11
68,10,10
60,12,12
70,15,15
62,10,10
68,11,11
66,14,14
60,9,9
62,12,12
60,12,12
58,11,11
64,15,15
60,12,12
58,8,8
56,12,12
64,12,12
62,12,12
68,13,13
64,9,9
68,12,12
56,7,7
58,10,10
44,8,8
48,10,10
68,15,15
60,11,11
62,13,13
60,9,9
62,11,11
66,11,11
66,14,14
64,12,12
64,10,10
60,13,13
64,14,14
64,13,13
56,10,10
56,9,9
58,13,13
56,11,11
60,13,13
62,9,9
40,6,6
64,13,13
70,13,13
62,6,6
64,11,11
52,6,6
54,7,7
56,8,8
68,12,12
62,13,13
74,12,12
14,1,1
40,5,5
58,9,9
54,9,9
62,12,12
62,11,11
60,12,12
60,12,12
64,15,15
62,12,12
64,11,11
46,7,7
52,8,8
60,9,9
56,9,9
60,11,11
62,14,14
66,14,14
46,5,5
64,12,12
62,8,8
46,7,7
54,10,10
58,9,9
40,4,4
62,13,13
62,14,14
72,13,13
66,11,11
68,10,10
68,11,11
62,11,11
58,10,10
70,10,10
52,9,9
60,9,9
58,9,9
70,14,14
58,10,10
66,13,13
52,8,8
68,14,14
62,12,12
60,15,15
60,13,13
64,9,9
62,9,9
58,13,13
58,9,9
50,6,6
68,12,12
66,10,10
60,14,14
70,12,12
72,15,15
64,9,9
66,14,14
64,17,17
68,10,10
62,16,16
58,12,12
50,9,9
32,7,7
68,15,15
42,5,5
66,11,11
62,14,14
60,13,13
66,12,12
46,4,4
62,9,9
64,9,9
60,13,13
68,12,12
62,12,12
62,7,7
66,7,7
56,7,7
66,15,15
60,11,11
58,12,12
58,9,9
70,13,13
64,11,11
68,8,8
60,9,9
68,12,12
58,12,12
64,8,8
60,9,9
62,6,6
62,12,12
64,11,11
60,13,13
68,8,8
60,10,10
62,12,12
62,15,15
64,13,13
62,8,8
60,11,11
62,12,12
56,10,10
62,15,15
64,12,12
66,11,11
58,10,10
62,12,12
64,12,12
66,13,13
60,11,11
58,11,11
52,6,6
64,10,10
64,15,15
58,7,7
62,13,13
54,9,9
66,11,11
62,10,10
62,11,11
64,15,15
68,11,11
66,9,9
64,15,15
56,10,10
58,11,11
64,15,15
64,15,15
66,12,12
66,11,11
58,12,12
62,10,10
66,15,15
62,11,11
64,14,14
66,16,16
64,9,9
54,11,11
60,11,11
60,9,9
62,14,14
68,17,17
62,13,13
54,10,10
64,16,16
60,12,12
38,7,7
66,10,10
60,11,11
58,11,11
58,12,12
58,8,8
58,10,10
62,13,13
62,11,11
68,13,13
64,12,12
68,11,11
62,10,10
60,9,9
62,9,9
54,10,10
64,12,12
64,11,11
54,11,11
66,12,12
60,11,11
64,18,18
60,9,9
60,10,10
66,15,15
68,10,10
66,10,10
66,12,12
66,9,9
66,14,14
60,10,10
62,15,15
62,9,9
64,8,8
64,13,13
58,10,10
60,12,12
58,7,7
60,9,9
60,10,10
64,12,12
66,12,12
76,10,10
62,12,12
70,11,11
64,12,12
66,15,15
42,7,7
62,10,10
54,11,11
60,10,10
60,10,10
48,7,7
50,5,5
62,12,12
64,12,12
64,12,12
60,9,9
58,10,10
58,8,8
60,10,10
64,14,14
66,12,12
64,12,12
